,time,ax,ay,az
0,10.009,-0.26,0.09,0.42
1,10.027,-0.25,0.09,0.43
2,10.046,-0.25,0.08,0.43
3,10.065,-0.24,0.08,0.44
4,10.084,-0.23,0.08,0.44
5,10.103,-0.22,0.08,0.44
6,10.122,-0.22,0.08,0.45
7,10.143,-0.21,0.07,0.45
8,10.16,-0.21,0.07,0.45
9,10.179,-0.21,0.07,0.45
10,10.199,-0.22,0.06,0.45
11,10.217,-0.22,0.06,0.45
12,10.236,-0.22,0.06,0.45
13,10.255,-0.22,0.05,0.45
14,10.275,-0.22,0.05,0.45
15,10.297,-0.22,0.05,0.45
16,10.317,-0.22,0.05,0.45
17,10.333,-0.22,0.05,0.45
18,10.351,-0.22,0.05,0.45
19,10.37,-0.22,0.05,0.45
20,10.389,-0.22,0.05,0.45
21,10.413,-0.22,0.05,0.45
22,10.428,-0.22,0.05,0.45
23,10.446,-0.22,0.05,0.45
24,10.466,-0.22,0.05,0.45
25,10.484,-0.22,0.05,0.45
26,10.503,-0.22,0.05,0.45
27,10.522,-0.22,0.05,0.45
28,10.541,-0.22,0.05,0.45
29,10.561,-0.22,0.05,0.45
30,10.58,-0.22,0.05,0.45
31,10.598,-0.22,0.05,0.45
32,10.618,-0.22,0.05,0.45
33,10.642,-0.22,0.05,0.45
34,10.655,-0.22,0.05,0.45
35,10.674,-0.22,0.05,0.45
36,10.699,-0.22,0.05,0.45
37,10.712,-0.22,0.05,0.45
38,10.732,-0.22,0.05,0.45
39,10.75,-0.22,0.05,0.45
40,10.769,-0.22,0.05,0.45
41,10.789,-0.22,0.05,0.45
42,10.808,-0.22,0.05,0.45
43,10.838,-0.22,0.05,0.45
44,10.848,-0.22,0.05,0.45
45,10.865,-0.22,0.05,0.45
46,10.884,-0.22,0.05,0.45
47,10.902,-0.22,0.05,0.45
48,10.922,-0.22,0.05,0.45
49,10.941,-0.22,0.05,0.45
50,10.961,-0.22,0.05,0.45
51,10.979,-0.22,0.05,0.45
52,10.998,-0.22,0.05,0.45
53,11.019,-0.22,0.05,0.45
54,11.049,-0.22,0.05,0.45
55,11.055,-0.22,0.05,0.45
56,11.073,-0.22,0.05,0.45
57,11.1,-0.22,0.05,0.45
58,11.117,-0.22,0.05,0.45
59,11.132,-0.22,0.05,0.45
60,11.15,-0.22,0.05,0.45
61,11.169,-0.22,0.05,0.45
62,11.188,-0.22,0.05,0.45
63,11.208,-0.22,0.05,0.45
64,11.23,-0.22,0.05,0.45
65,11.245,-0.22,0.05,0.45
66,11.265,-0.22,0.05,0.45
67,11.283,-0.22,0.05,0.45
68,11.302,-0.22,0.05,0.45
69,11.322,-0.22,0.05,0.45
70,11.341,-0.22,0.05,0.45
71,11.359,-0.22,0.05,0.45
72,11.379,-0.22,0.05,0.45
73,11.417,-0.22,0.05,0.45
74,11.429,-0.22,0.05,0.45
75,11.436,-0.22,0.05,0.45
76,11.455,-0.22,0.05,0.45
77,11.474,-0.22,0.05,0.45
78,11.492,-0.22,0.05,0.45
79,11.514,-0.22,0.05,0.45
80,11.53,-0.22,0.05,0.45
81,11.55,-0.22,0.05,0.45
82,11.569,-0.22,0.05,0.45
83,11.588,-0.22,0.05,0.45
84,11.607,-0.22,0.05,0.45
85,11.635,-0.22,0.05,0.45
86,11.645,-0.22,0.05,0.45
87,11.663,-0.22,0.05,0.45
88,11.683,-0.22,0.05,0.45
89,11.702,-0.22,0.05,0.45
90,11.722,-0.22,0.05,0.45
91,11.741,-0.22,0.05,0.45
92,11.761,-0.22,0.05,0.45
93,11.778,-0.22,0.05,0.45
94,11.797,-0.22,0.05,0.45
95,11.817,-0.22,0.05,0.45
96,11.84,-0.22,0.05,0.45
97,11.854,-0.22,0.05,0.45
98,11.874,-0.22,0.05,0.45
99,11.893,-0.22,0.05,0.45
100,11.912,-0.22,0.05,0.45
101,11.934,-0.22,0.05,0.45
102,11.952,-0.22,0.05,0.45
103,11.969,-0.22,0.05,0.45
104,11.987,-0.22,0.05,0.45
105,12.007,-0.22,0.05,0.45
106,12.041,-0.22,0.05,0.45
107,12.044,-0.22,0.05,0.45
108,12.063,-0.22,0.05,0.45
109,12.083,-0.22,0.05,0.45
110,12.102,-0.22,0.05,0.45
111,12.122,-0.22,0.05,0.45
112,12.141,-0.22,0.05,0.45
113,12.16,-0.22,0.05,0.45
114,12.178,-0.22,0.05,0.45
115,12.197,-0.22,0.05,0.45
116,12.217,-0.22,0.05,0.45
117,12.245,-0.22,0.05,0.45
118,12.254,-0.22,0.05,0.45
119,12.273,-0.22,0.05,0.45
120,12.294,-0.22,0.05,0.45
121,12.311,-0.22,0.05,0.45
122,12.333,-0.22,0.05,0.45
123,12.358,-0.22,0.05,0.45
124,12.369,-0.22,0.05,0.45
125,12.387,-0.22,0.05,0.45
126,12.417,-0.22,0.05,0.45
127,12.439,-0.22,0.05,0.45
128,12.449,-0.22,0.05,0.45
129,12.464,-0.22,0.05,0.45
130,12.482,-0.22,0.05,0.45
131,12.502,-0.22,0.05,0.45
132,12.521,-0.22,0.05,0.45
133,12.539,-0.22,0.05,0.45
134,12.56,-0.22,0.05,0.45
135,12.578,-0.22,0.05,0.45
136,12.597,-0.22,0.05,0.45
137,12.618,-0.22,0.05,0.45
138,12.634,-0.22,0.05,0.45
139,12.654,-0.22,0.05,0.45
140,12.673,-0.22,0.05,0.45
141,12.692,-0.22,0.05,0.45
142,12.711,-0.22,0.05,0.45
143,12.732,-0.22,0.05,0.45
144,12.759,-0.22,0.05,0.45
145,12.768,-0.22,0.05,0.45
146,12.787,-0.22,0.05,0.45
147,12.806,-0.22,0.05,0.45
148,12.84,-0.22,0.05,0.45
149,12.846,-0.22,0.05,0.45
150,12.863,-0.22,0.05,0.45
151,12.883,-0.22,0.05,0.45
152,12.902,-0.22,0.05,0.45
153,12.921,-0.22,0.05,0.45
154,12.939,-0.22,0.05,0.45
155,12.959,-0.22,0.05,0.45
156,12.977,-0.22,0.05,0.45
157,12.996,-0.22,0.05,0.45
158,13.016,-0.22,0.05,0.45
159,13.034,-0.22,0.05,0.45
160,13.053,-0.22,0.05,0.45
161,13.073,-0.22,0.05,0.45
162,13.093,-0.22,0.05,0.45
163,13.111,-0.22,0.05,0.45
164,13.132,-0.22,0.05,0.45
165,13.15,-0.22,0.05,0.45
166,13.169,-0.22,0.05,0.45
167,13.187,-0.22,0.05,0.45
168,13.206,-0.22,0.05,0.45
169,13.23,-0.22,0.05,0.45
170,13.251,-0.22,0.05,0.45
171,13.262,-0.22,0.05,0.45
172,13.282,-0.22,0.05,0.45
173,13.301,-0.22,0.05,0.45
174,13.319,-0.22,0.05,0.45
175,13.34,-0.22,0.05,0.45
176,13.359,-0.22,0.05,0.45
177,13.377,-0.22,0.05,0.45
178,13.418,-0.22,0.05,0.45
179,13.421,-0.22,0.05,0.45
180,13.443,-0.22,0.05,0.45
181,13.453,-0.22,0.05,0.45
182,13.472,-0.22,0.05,0.45
183,13.492,-0.22,0.05,0.45
184,13.51,-0.22,0.05,0.45
185,13.531,-0.22,0.05,0.45
186,13.549,-0.22,0.05,0.45
187,13.568,-0.22,0.05,0.45
188,13.587,-0.22,0.05,0.45
189,13.606,-0.22,0.05,0.45
190,13.639,-0.22,0.05,0.45
191,13.65,-0.22,0.05,0.45
192,13.663,-0.22,0.05,0.45
193,13.682,-0.22,0.05,0.45
194,13.701,-0.22,0.05,0.45
195,13.72,-0.22,0.05,0.45
196,13.738,-0.22,0.05,0.45
197,13.758,-0.22,0.05,0.45
198,13.777,-0.22,0.05,0.45
199,13.799,-0.22,0.05,0.45
200,13.815,-0.22,0.05,0.45
201,13.834,-0.22,0.05,0.45
202,13.853,-0.22,0.05,0.45
203,13.873,-0.22,0.05,0.45
204,13.891,-0.22,0.05,0.45
205,13.91,-0.22,0.05,0.45
206,13.931,-0.22,0.05,0.45
207,13.958,-0.22,0.05,0.45
208,13.967,-0.22,0.05,0.45
209,13.986,-0.22,0.05,0.45
210,14.006,-0.22,0.05,0.45
211,14.042,-0.22,0.05,0.45
212,14.049,-0.22,0.05,0.45
213,14.062,-0.22,0.05,0.45
214,14.082,-0.22,0.05,0.45
215,14.1,-0.22,0.05,0.45
216,14.119,-0.22,0.05,0.45
217,14.138,-0.22,0.05,0.45
218,14.158,-0.22,0.05,0.45
219,14.176,-0.22,0.05,0.45
220,14.197,-0.22,0.05,0.45
221,14.216,-0.22,0.05,0.45
222,14.243,-0.22,0.05,0.45
223,14.252,-0.22,0.05,0.45
224,14.272,-0.22,0.05,0.45
225,14.291,-0.22,0.05,0.45
226,14.309,-0.22,0.05,0.45
227,14.329,-0.22,0.05,0.45
228,14.347,-0.22,0.05,0.45
229,14.367,-0.22,0.05,0.45
230,14.386,-0.22,0.05,0.45
231,14.417,-0.22,0.05,0.45
232,14.421,-0.22,0.05,0.45
233,14.439,-0.22,0.05,0.45
234,14.458,-0.22,0.05,0.45
235,14.478,-0.22,0.05,0.45
236,14.497,-0.22,0.05,0.45
237,14.516,-0.22,0.05,0.45
238,14.535,-0.22,0.05,0.45
239,14.554,-0.22,0.05,0.45
240,14.572,-0.22,0.05,0.45
241,14.594,-0.22,0.05,0.45
242,14.611,-0.22,0.05,0.45
243,14.633,-0.22,0.05,0.45
244,14.659,-0.22,0.05,0.45
245,14.667,-0.22,0.05,0.45
246,14.688,-0.22,0.05,0.45
247,14.706,-0.22,0.05,0.45
248,14.732,-0.22,0.05,0.45
249,14.747,-0.22,0.05,0.45
250,14.763,-0.22,0.05,0.45
251,14.783,-0.22,0.05,0.45
252,14.801,-0.22,0.05,0.45
253,14.82,-0.22,0.05,0.45
254,14.84,-0.22,0.05,0.45
255,14.859,-0.22,0.05,0.45
256,14.878,-0.22,0.05,0.45
257,14.897,-0.22,0.05,0.45
258,14.915,-0.22,0.05,0.45
259,14.934,-0.22,0.05,0.45
260,14.953,-0.22,0.05,0.45
261,14.972,-0.22,0.05,0.45
262,14.992,-0.22,0.05,0.45
263,15.01,-0.22,0.05,0.45
264,15.031,-0.22,0.05,0.45
265,15.049,-0.22,0.05,0.45
266,15.067,-0.22,0.05,0.45
267,15.087,-0.22,0.05,0.45
268,15.106,-0.22,0.05,0.45
269,15.13,-0.22,0.05,0.45
270,15.148,-0.22,0.05,0.45
271,15.163,-0.22,0.05,0.45
272,15.182,-0.22,0.05,0.45
273,15.201,-0.22,0.05,0.45
274,15.228,-0.22,0.05,0.45
275,15.243,-0.22,0.05,0.45
276,15.257,-0.22,0.05,0.45
277,15.276,-0.22,0.05,0.45
278,15.296,-0.22,0.05,0.45
279,15.315,-0.22,0.05,0.45
280,15.333,-0.22,0.05,0.45
281,15.353,-0.22,0.05,0.45
282,15.372,-0.22,0.05,0.45
283,15.392,-0.22,0.05,0.45
284,15.416,-0.22,0.05,0.45
285,15.432,-0.22,0.05,0.45
286,15.448,-0.22,0.05,0.45
287,15.467,-0.22,0.05,0.45
288,15.487,-0.22,0.05,0.45
