,time,ax,ay,az
0,10.007,-0.2,0.16,0.59
1,10.038,-0.2,0.16,0.59
2,10.043,-0.2,0.16,0.59
3,10.059,-0.2,0.16,0.59
4,10.08,-0.2,0.16,0.59
5,10.098,-0.2,0.16,0.59
6,10.118,-0.2,0.16,0.59
7,10.136,-0.2,0.16,0.59
8,10.156,-0.2,0.16,0.59
9,10.175,-0.2,0.16,0.59
10,10.194,-0.2,0.16,0.59
11,10.221,-0.2,0.16,0.59
12,10.237,-0.2,0.16,0.59
13,10.25,-0.2,0.16,0.59
14,10.27,-0.2,0.16,0.59
15,10.289,-0.2,0.16,0.59
16,10.309,-0.2,0.16,0.59
17,10.326,-0.2,0.16,0.59
18,10.349,-0.2,0.16,0.59
19,10.364,-0.2,0.16,0.59
20,10.384,-0.2,0.16,0.59
21,10.402,-0.2,0.16,0.59
22,10.422,-0.2,0.16,0.59
23,10.442,-0.2,0.16,0.59
24,10.46,-0.2,0.16,0.59
25,10.479,-0.2,0.16,0.59
26,10.498,-0.2,0.16,0.59
27,10.517,-0.2,0.16,0.59
28,10.54,-0.2,0.16,0.59
29,10.555,-0.2,0.16,0.59
30,10.573,-0.2,0.16,0.59
31,10.594,-0.2,0.16,0.59
32,10.612,-0.2,0.16,0.59
33,10.635,-0.2,0.16,0.59
34,10.65,-0.2,0.16,0.59
35,10.67,-0.2,0.16,0.59
36,10.689,-0.2,0.16,0.59
37,10.715,-0.2,0.16,0.59
38,10.726,-0.2,0.16,0.59
39,10.745,-0.2,0.16,0.59
40,10.764,-0.2,0.16,0.59
41,10.784,-0.2,0.16,0.59
42,10.804,-0.2,0.16,0.59
43,10.822,-0.2,0.16,0.59
44,10.841,-0.2,0.16,0.59
45,10.86,-0.2,0.16,0.59
46,10.878,-0.2,0.16,0.59
47,10.898,-0.2,0.16,0.59
48,10.917,-0.2,0.16,0.59
49,10.936,-0.2,0.16,0.59
50,10.96,-0.2,0.16,0.59
51,10.975,-0.2,0.16,0.59
52,10.993,-0.2,0.16,0.59
53,11.012,-0.2,0.16,0.59
54,11.037,-0.2,0.16,0.59
55,11.054,-0.2,0.16,0.59
56,11.073,-0.2,0.16,0.59
57,11.095,-0.2,0.16,0.59
58,11.112,-0.2,0.16,0.59
59,11.133,-0.2,0.16,0.59
60,11.152,-0.2,0.16,0.59
61,11.169,-0.2,0.16,0.59
62,11.187,-0.2,0.16,0.59
63,11.206,-0.2,0.16,0.59
64,11.225,-0.2,0.16,0.59
65,11.252,-0.2,0.16,0.59
66,11.264,-0.2,0.16,0.59
67,11.283,-0.2,0.16,0.59
68,11.301,-0.2,0.16,0.59
69,11.321,-0.2,0.16,0.59
70,11.34,-0.2,0.16,0.59
71,11.358,-0.2,0.16,0.59
72,11.381,-0.2,0.16,0.59
73,11.397,-0.2,0.16,0.59
74,11.416,-0.2,0.16,0.59
75,11.434,-0.2,0.16,0.59
76,11.454,-0.2,0.16,0.59
77,11.473,-0.2,0.16,0.59
78,11.494,-0.2,0.16,0.59
79,11.512,-0.2,0.16,0.59
80,11.533,-0.2,0.16,0.59
81,11.554,-0.2,0.16,0.59
82,11.568,-0.2,0.16,0.59
83,11.588,-0.2,0.16,0.59
84,11.606,-0.2,0.16,0.59
85,11.624,-0.2,0.16,0.59
86,11.646,-0.2,0.16,0.59
87,11.663,-0.2,0.16,0.59
88,11.683,-0.2,0.16,0.59
89,11.701,-0.2,0.16,0.59
90,11.721,-0.2,0.16,0.59
91,11.739,-0.2,0.16,0.59
92,11.758,-0.2,0.16,0.59
93,11.778,-0.2,0.16,0.59
94,11.796,-0.2,0.16,0.59
95,11.817,-0.2,0.16,0.59
96,11.834,-0.2,0.16,0.59
97,11.854,-0.2,0.16,0.59
98,11.874,-0.2,0.16,0.59
99,11.891,-0.2,0.16,0.59
100,11.915,-0.2,0.16,0.59
101,11.93,-0.2,0.16,0.59
102,11.949,-0.2,0.16,0.59
103,11.968,-0.2,0.16,0.59
104,11.987,-0.2,0.16,0.59
105,12.006,-0.2,0.16,0.59
106,12.038,-0.2,0.16,0.59
107,12.042,-0.2,0.16,0.59
108,12.059,-0.2,0.16,0.59
109,12.079,-0.2,0.16,0.59
110,12.099,-0.2,0.16,0.59
111,12.118,-0.2,0.16,0.59
112,12.141,-0.2,0.16,0.59
113,12.154,-0.2,0.16,0.59
114,12.174,-0.2,0.16,0.59
115,12.192,-0.2,0.16,0.59
116,12.212,-0.2,0.16,0.59
117,12.233,-0.2,0.16,0.59
118,12.25,-0.2,0.16,0.59
119,12.269,-0.2,0.16,0.59
120,12.289,-0.2,0.16,0.59
121,12.307,-0.2,0.16,0.59
122,12.333,-0.2,0.16,0.59
123,12.35,-0.2,0.16,0.59
124,12.364,-0.2,0.16,0.59
125,12.384,-0.2,0.16,0.59
126,12.402,-0.2,0.16,0.59
127,12.422,-0.2,0.16,0.59
128,12.441,-0.2,0.16,0.59
129,12.459,-0.2,0.16,0.59
130,12.478,-0.2,0.16,0.59
131,12.497,-0.2,0.16,0.59
132,12.516,-0.2,0.16,0.59
133,12.535,-0.2,0.16,0.59
134,12.554,-0.2,0.16,0.59
135,12.574,-0.2,0.16,0.59
136,12.593,-0.2,0.16,0.59
137,12.618,-0.2,0.16,0.59
138,12.633,-0.2,0.16,0.59
139,12.65,-0.2,0.16,0.59
140,12.67,-0.2,0.16,0.59
141,12.688,-0.2,0.16,0.59
142,12.707,-0.2,0.16,0.59
143,12.726,-0.2,0.16,0.59
144,12.751,-0.2,0.16,0.59
145,12.764,-0.2,0.16,0.59
146,12.783,-0.2,0.16,0.59
147,12.802,-0.2,0.16,0.59
148,12.821,-0.2,0.16,0.59
149,12.841,-0.2,0.16,0.59
150,12.858,-0.2,0.16,0.59
151,12.878,-0.2,0.16,0.59
152,12.898,-0.2,0.16,0.59
153,12.917,-0.2,0.16,0.59
154,12.936,-0.2,0.16,0.59
155,12.954,-0.2,0.16,0.59
156,12.974,-0.2,0.16,0.59
157,12.994,-0.2,0.16,0.59
158,13.012,-0.2,0.16,0.59
159,13.04,-0.2,0.16,0.59
160,13.057,-0.2,0.16,0.59
161,13.073,-0.2,0.16,0.59
162,13.092,-0.2,0.16,0.59
163,13.112,-0.2,0.16,0.59
164,13.133,-0.2,0.16,0.59
165,13.148,-0.2,0.16,0.59
166,13.168,-0.2,0.16,0.59
167,13.186,-0.2,0.16,0.59
168,13.206,-0.2,0.16,0.59
169,13.231,-0.2,0.16,0.59
170,13.246,-0.2,0.16,0.59
171,13.263,-0.2,0.16,0.59
172,13.283,-0.2,0.16,0.59
173,13.301,-0.2,0.16,0.59
174,13.32,-0.2,0.16,0.59
