,time,ax,ay,az
0,10.005,0.01,0.11,-0.02
1,10.024,0.01,0.11,-0.02
2,10.046,0.01,0.11,-0.02
3,10.064,0.01,0.11,-0.02
4,10.082,0.02,0.11,-0.02
5,10.101,0.02,0.11,-0.02
6,10.12,0.02,0.11,-0.02
7,10.14,0.02,0.11,-0.02
8,10.158,0.02,0.11,-0.02
9,10.189,0.02,0.11,-0.02
10,10.198,0.02,0.11,-0.02
11,10.215,0.02,0.11,-0.02
12,10.235,0.02,0.11,-0.02
13,10.253,0.02,0.11,-0.02
14,10.272,0.02,0.11,-0.02
15,10.291,0.04,0.11,0.05
16,10.31,-0.02,0.05,-0.01
17,10.329,-0.02,0.05,-0.01
18,10.348,-0.02,0.05,-0.01
19,10.368,-0.06,0.06,-0.04
20,10.389,0.01,0.09,-0.14
21,10.405,0.03,0.1,-0.13
22,10.431,0.06,0.09,-0.08
23,10.443,0.02,0.1,-0.08
24,10.462,0.01,0.12,-0.09
25,10.482,-0.02,0.14,-0.04
26,10.5,-0.11,0.14,0.01
27,10.52,-0.27,0.17,0.06
28,10.54,-0.17,0.15,0.02
29,10.558,-0.05,0.1,-0.04
30,10.582,0.02,0.12,0.01
31,10.596,0.02,0.12,0.01
32,10.615,0.19,0.14,0.07
33,10.634,0.32,0.1,-0.05
34,10.652,0.4,0.07,-0.31
35,10.672,0.43,0.06,-0.48
36,10.691,0.41,0.01,-0.38
37,10.71,0.26,0.03,-0.16
38,10.729,0.09,0.09,-0.08
39,10.748,0.07,0.14,-0.17
40,10.767,0.1,0.14,-0.23
41,10.787,0.03,0.08,-0.16
42,10.806,-0.06,0.08,-0.02
43,10.824,-0.07,0.04,0.09
44,10.843,-0.01,0.02,0.06
45,10.862,0.12,0.1,-0.03
46,10.883,0.32,0.15,-0.1
47,10.902,0.4,0.16,-0.14
48,10.92,0.24,0.12,-0.08
49,10.94,0.11,0.11,-0.0
50,10.958,0.11,0.12,-0.03
51,10.982,0.09,0.14,-0.07
52,10.996,0.0,0.15,-0.03
53,11.014,-0.05,0.18,0.01
54,11.033,-0.06,0.24,0.1
55,11.052,-0.04,0.26,0.18
56,11.072,-0.06,0.26,0.14
57,11.1,-0.07,0.24,0.13
58,11.11,-0.16,0.21,0.07
59,11.129,-0.16,0.09,0.04
60,11.148,-0.1,0.1,0.04
61,11.168,-0.04,0.13,0.02
62,11.19,-0.01,0.1,-0.01
63,11.205,0.0,0.04,-0.0
64,11.226,0.01,0.04,-0.01
65,11.243,0.02,0.04,-0.01
66,11.264,0.02,0.04,-0.02
67,11.282,0.03,0.04,-0.02
68,11.301,0.03,0.04,-0.02
69,11.319,0.03,0.04,-0.02
70,11.339,0.03,0.04,-0.03
71,11.357,0.03,0.04,-0.03
72,11.385,0.03,0.04,-0.03
73,11.396,0.03,0.04,-0.02
74,11.427,0.03,0.04,-0.02
75,11.439,0.03,0.04,-0.02
76,11.452,0.03,0.04,-0.02
77,11.472,0.02,0.04,-0.02
78,11.492,0.02,0.04,-0.02
79,11.51,0.02,0.04,-0.01
80,11.529,0.02,0.04,-0.01
81,11.548,0.01,0.04,-0.01
82,11.567,0.01,0.04,-0.01
83,11.586,0.01,0.04,-0.01
84,11.605,0.01,0.04,-0.01
85,11.624,0.01,0.04,-0.01
86,11.642,0.01,0.04,-0.01
87,11.663,0.01,0.04,-0.01
88,11.682,0.01,0.04,-0.01
89,11.7,0.01,0.04,-0.01
90,11.719,0.01,0.04,-0.01
91,11.738,0.01,0.04,-0.01
92,11.764,0.01,0.04,-0.01
93,11.783,0.01,0.04,-0.01
94,11.795,0.01,0.04,-0.01
95,11.815,0.01,0.04,-0.01
96,11.833,-0.17,-0.01,-0.11
97,11.852,0.05,0.1,-0.03
98,11.873,0.14,0.14,-0.0
99,11.892,0.18,0.24,0.13
100,11.909,0.03,0.34,0.27
101,11.928,-0.0,0.26,0.18
102,11.948,0.06,0.22,0.05
103,11.967,0.05,0.18,0.09
104,11.985,-0.02,0.1,0.14
105,12.005,-0.13,0.11,0.05
106,12.024,-0.14,0.17,-0.05
107,12.042,-0.01,0.13,-0.14
108,12.062,0.08,0.09,-0.24
109,12.082,0.13,0.11,-0.24
110,12.111,0.12,0.13,-0.12
111,12.119,0.04,0.16,-0.04
112,12.138,0.0,0.15,-0.04
113,12.164,0.03,0.11,-0.1
114,12.19,0.01,0.13,-0.12
115,12.194,0.03,0.18,-0.07
116,12.215,0.05,0.16,-0.03
117,12.233,-0.05,0.08,0.01
118,12.252,-0.06,0.07,-0.01
119,12.271,0.04,0.1,-0.02
120,12.293,0.04,0.1,-0.02
