,time,ax,ay,az
0,10.006,-3.11,-4.29,4.82
1,10.026,-2.95,-3.07,5.42
2,10.066,-0.64,-1.19,0.13
3,10.069,1.54,-0.66,-3.12
4,10.083,2.29,-0.75,-2.65
5,10.101,2.06,-1.0,-0.46
6,10.121,1.19,-0.72,0.06
7,10.139,0.11,0.22,0.69
8,10.159,-0.85,2.35,1.29
9,10.181,-1.42,3.2,1.75
10,10.197,-1.78,4.1,2.21
11,10.216,-2.04,4.8,2.52
12,10.237,-2.08,5.26,2.53
13,10.265,-2.03,5.32,2.39
14,10.272,-1.87,4.79,1.86
15,10.292,-1.75,4.43,1.64
16,10.311,-1.54,4.06,1.29
17,10.33,-1.13,3.21,-1.13
18,10.35,-0.71,-0.48,-6.67
19,10.374,3.62,-7.71,-12.14
20,10.387,10.74,-9.45,-13.6
21,10.407,10.52,-4.19,-9.4
22,10.425,2.76,-0.09,-5.08
23,10.462,-0.97,0.51,-1.54
24,10.468,-4.46,-4.05,0.13
25,10.482,-3.8,-4.88,-0.07
26,10.501,-1.74,-2.7,-0.75
27,10.52,0.39,-1.83,-4.08
28,10.539,1.52,0.41,-4.12
29,10.558,1.97,1.28,1.14
30,10.582,1.49,3.22,2.32
31,10.596,0.53,3.47,3.22
32,10.616,-0.07,0.02,3.43
33,10.637,0.36,-1.06,3.53
34,10.666,1.29,-1.77,3.26
35,10.672,2.0,-1.36,1.11
36,10.697,2.88,-0.22,-2.3
37,10.71,3.13,0.46,-2.87
38,10.729,2.8,0.57,-2.48
39,10.757,1.65,0.59,1.4
40,10.774,1.21,0.8,2.28
41,10.786,1.14,0.87,1.63
42,10.807,0.99,0.63,0.6
43,10.825,0.72,0.56,-0.11
44,10.866,0.59,0.63,-0.4
45,10.868,0.53,0.87,-0.41
46,10.882,0.53,0.82,0.01
47,10.901,0.52,0.73,0.26
48,10.92,0.57,0.54,0.23
49,10.94,0.66,0.27,0.11
50,10.959,0.71,0.13,-0.15
51,10.976,0.71,0.07,-0.53
52,10.995,0.99,0.02,-0.87
53,11.015,1.77,-0.0,-1.06
54,11.038,2.26,0.0,-1.11
55,11.07,3.15,-0.57,-3.68
56,11.072,0.85,-2.64,-7.17
57,11.091,-0.09,-4.68,-7.3
58,11.111,-0.68,-4.93,-6.44
59,11.129,-0.49,-4.83,-5.28
60,11.149,-0.25,-5.0,-2.8
61,11.182,-0.57,-5.37,1.59
62,11.188,-1.56,-5.22,6.12
63,11.206,-2.27,-4.26,6.95
64,11.225,-2.14,-2.81,6.71
65,11.268,1.8,-1.35,-3.89
66,11.271,2.28,-0.92,-5.3
67,11.281,1.94,-0.88,-1.31
68,11.3,0.87,-0.5,-0.19
69,11.319,-0.28,0.34,0.77
70,11.338,-1.01,1.55,1.44
71,11.358,-1.42,3.49,1.79
72,11.385,-1.71,4.48,2.15
73,11.396,-2.04,5.4,2.52
74,11.415,-2.23,5.68,2.28
75,11.433,-2.12,5.55,1.95
76,11.46,-1.43,4.4,0.81
77,11.471,-1.13,3.69,0.37
78,11.491,-0.86,3.28,0.06
79,11.511,-0.41,2.95,-0.52
80,11.528,0.18,2.35,-1.5
81,11.55,0.81,0.26,-4.59
82,11.578,1.75,-2.96,-7.96
83,11.585,5.53,-5.14,-10.49
84,11.606,6.46,-5.61,-9.02
85,11.624,6.32,-5.27,-6.03
86,11.659,0.31,0.03,-0.55
87,11.667,-1.8,0.69,0.04
88,11.693,-2.75,-1.62,-1.97
89,11.7,-3.14,-5.45,-3.85
90,11.719,-2.5,-6.45,-3.51
91,11.738,0.96,-4.73,-3.52
92,11.756,1.4,-0.02,-0.78
93,11.785,1.0,3.61,3.13
94,11.796,0.03,4.16,4.24
95,11.815,-2.35,4.24,3.92
96,11.838,-3.21,1.74,3.75
97,11.865,-3.18,0.19,4.01
98,11.872,0.89,-2.05,4.39
99,11.891,4.23,-2.02,3.9
100,11.91,5.87,0.08,-0.08
101,11.928,3.35,0.51,-1.82
102,11.95,0.81,0.54,0.17
103,11.978,-1.1,0.64,3.4
104,11.985,-1.32,1.18,3.48
105,12.005,-0.87,1.47,2.52
106,12.023,-0.51,1.39,0.74
107,12.065,0.62,0.88,0.29
108,12.068,1.19,0.89,0.43
109,12.081,1.49,1.15,0.34
110,12.099,1.39,1.31,0.19
111,12.118,0.96,1.37,-0.01
112,12.138,0.41,1.21,-0.17
113,12.156,0.17,0.88,-0.08
114,12.191,0.48,0.66,0.03
115,12.196,1.13,0.41,0.03
116,12.214,1.39,0.25,0.04
117,12.233,1.4,-0.09,-0.35
118,12.253,1.44,-0.22,-1.09
119,12.271,2.17,-0.64,-1.83
120,12.289,3.0,-1.17,-2.62
121,12.309,2.85,-2.01,-4.78
122,12.328,1.85,-4.2,-5.91
123,12.348,0.81,-5.23,-6.7
124,12.381,-0.36,-5.36,-6.57
125,12.385,-1.45,-5.36,-2.45
126,12.405,-2.2,-5.62,2.42
127,12.423,-3.01,-5.43,6.17
128,12.449,-3.3,-3.4,6.82
129,12.475,-0.99,-2.24,1.91
130,12.48,1.26,-1.23,-3.22
131,12.499,1.81,-0.8,-4.62
132,12.518,-0.41,-0.48,-2.16
133,12.537,-1.03,0.26,-0.02
134,12.556,-1.41,1.33,0.9
135,12.585,-1.41,2.35,1.61
136,12.595,-1.61,3.34,1.99
137,12.613,-2.24,4.22,2.24
138,12.633,-2.78,4.87,2.65
139,12.651,-3.02,5.16,2.82
140,12.677,-2.8,4.98,2.32
141,12.695,-2.3,4.39,1.4
142,12.71,-1.96,3.66,0.48
143,12.752,-1.75,2.96,-0.65
144,12.756,-1.43,0.86,-4.02
145,12.785,-0.53,-1.9,-8.21
146,12.788,5.24,-6.1,-10.47
147,12.804,7.15,-6.54,-10.51
148,12.823,7.22,-2.25,-4.81
149,12.847,1.44,1.21,-2.94
150,12.879,-1.77,1.56,-1.03
151,12.881,-3.88,-2.93,-0.32
152,12.899,-4.16,-5.95,0.18
153,12.918,-2.06,-6.29,0.89
154,12.937,0.15,-2.6,-4.95
155,12.979,1.21,-0.41,-6.68
156,12.981,1.43,1.62,1.43
157,12.994,0.94,3.19,3.34
158,13.013,-1.38,4.19,1.39
159,13.032,-1.37,0.83,1.31
160,13.051,0.59,-1.07,3.7
161,13.078,2.72,-1.69,4.77
162,13.089,3.31,-1.31,4.68
163,13.109,3.81,-0.44,0.44
164,13.127,3.58,0.07,-3.31
165,13.149,2.51,0.3,-2.02
166,13.181,1.39,0.58,1.97
167,13.185,0.72,1.04,2.29
168,13.204,0.52,1.21,2.02
169,13.223,0.18,1.06,1.2
170,13.246,0.15,0.95,1.05
171,13.277,0.57,1.09,0.58
172,13.28,1.06,1.09,0.05
173,13.298,1.31,0.83,-0.14
174,13.317,1.33,0.4,-0.22
175,13.336,1.19,-0.06,-0.47
176,13.355,1.15,-0.38,-0.78
177,13.381,1.36,-0.5,-1.17
178,13.394,1.53,-0.55,-1.4
179,13.413,2.34,-0.69,-1.99
180,13.431,3.34,-0.58,-2.55
181,13.451,4.3,-0.7,-3.34
182,13.478,3.74,-2.69,-5.32
183,13.489,-0.16,-4.81,-6.25
184,13.508,-1.03,-5.41,-6.47
