,time,ax,ay,az
0,10.005,-1.57,0.3,1.48
1,10.028,-1.03,0.41,0.93
2,10.03,-0.43,0.35,0.35
3,10.033,-0.43,0.35,0.35
4,10.043,0.81,-0.01,0.1
5,10.053,2.32,-0.16,0.39
6,10.062,2.66,-0.18,0.74
7,10.072,3.07,-0.13,0.95
8,10.081,3.43,0.02,0.87
9,10.091,3.75,0.24,0.48
10,10.101,4.0,0.5,-1.21
11,10.129,4.13,0.74,-1.66
12,10.13,3.98,0.91,-2.32
13,10.131,3.47,1.09,-2.95
14,10.138,3.47,1.09,-2.95
15,10.148,1.22,1.63,-3.36
16,10.157,0.8,2.03,-3.04
17,10.167,0.56,2.37,-1.33
18,10.176,0.54,2.55,-1.01
19,10.186,0.57,2.55,-0.46
20,10.195,0.49,2.4,0.07
21,10.205,0.19,2.19,0.45
22,10.215,-0.28,2.0,0.63
23,10.225,-0.78,1.91,0.64
24,10.237,-1.15,1.94,0.55
25,10.245,-1.33,1.99,0.43
26,10.252,-1.26,1.99,0.35
27,10.262,-1.05,1.87,0.27
28,10.271,-0.77,1.72,0.25
29,10.281,-0.53,1.57,0.37
30,10.29,-0.38,1.49,0.65
31,10.299,-0.3,1.51,1.0
32,10.325,-0.23,1.57,1.24
33,10.326,-0.07,1.58,1.16
34,10.328,0.17,1.45,0.79
35,10.338,0.17,1.45,0.79
36,10.347,0.73,0.84,0.04
37,10.357,0.82,0.51,-0.09
38,10.366,0.84,0.28,-0.06
39,10.376,0.87,0.14,0.01
40,10.385,0.97,0.06,0.08
41,10.397,1.19,0.06,0.12
42,10.404,1.49,0.03,0.04
43,10.42,1.88,-0.17,-0.23
44,10.423,2.35,-0.63,-0.75
45,10.433,2.91,-2.29,-2.39
46,10.443,3.4,-2.5,-4.17
47,10.452,3.63,-2.77,-4.59
48,10.461,3.48,-3.05,-6.33
49,10.471,1.74,-3.44,-6.49
50,10.48,0.12,-4.01,-6.56
51,10.489,-0.41,-4.66,-6.34
52,10.499,-2.22,-5.25,-5.8
53,10.522,-2.69,-5.61,-4.21
54,10.524,-3.06,-5.68,-3.78
55,10.53,-3.06,-5.68,-3.78
56,10.537,-2.96,-5.19,-2.6
57,10.547,-2.55,-4.87,-2.0
58,10.557,-1.99,-4.6,-1.39
59,10.566,-1.4,-4.36,-0.88
60,10.576,-0.86,-4.09,-0.63
61,10.585,-0.45,-3.71,-0.59
62,10.595,-0.29,-3.12,-0.71
63,10.604,-0.34,-1.49,-0.84
64,10.614,-0.62,-0.94,-0.85
65,10.624,-1.06,0.65,-0.81
66,10.641,-1.52,1.0,-0.75
67,10.643,-1.92,1.37,-0.72
68,10.652,-2.12,1.76,-0.65
69,10.661,-2.09,2.14,-0.48
70,10.671,-1.92,2.58,-0.29
71,10.68,-1.71,3.09,-0.09
72,10.69,-1.56,3.64,0.15
73,10.704,-1.49,4.22,0.43
74,10.728,-1.54,4.71,0.76
75,10.729,-1.65,5.05,1.07
76,10.73,-1.65,5.05,1.07
77,10.737,-1.97,5.0,1.18
78,10.748,-2.05,4.74,1.02
79,10.756,-2.08,4.42,0.8
80,10.765,-2.05,4.12,0.6
81,10.775,-1.92,3.85,0.46
82,10.784,-1.66,3.56,0.35
83,10.794,-1.26,3.19,0.27
84,10.804,-0.73,2.68,0.13
85,10.813,1.28,0.85,-0.25
86,10.823,2.92,0.53,-0.86
