,time,ax,ay,az
0,10.003,-1.54,3.95,-2.44
1,10.022,-2.1,3.84,-1.05
2,10.041,0.05,3.02,0.71
3,10.061,2.23,1.96,1.5
4,10.084,2.77,0.99,2.21
5,10.101,2.41,0.05,2.71
6,10.117,1.74,-0.98,2.6
7,10.136,1.3,-1.73,2.12
8,10.155,0.87,-1.83,1.74
9,10.175,-0.11,-1.54,1.73
10,10.199,-2.46,-1.72,2.0
11,10.219,-3.28,-3.7,2.5
12,10.231,-3.73,-4.15,2.9
13,10.251,-3.35,-4.66,2.87
14,10.269,-2.81,-6.96,3.09
15,10.289,-2.61,-7.45,-3.59
16,10.307,-1.95,-5.48,-12.0
17,10.33,0.23,-4.95,-9.03
18,10.346,0.72,-4.6,-3.81
19,10.365,0.56,-4.46,-2.9
20,10.384,0.1,-4.44,-1.89
21,10.403,-0.9,-4.97,-0.96
22,10.429,-2.73,-5.07,-0.55
23,10.441,-3.5,-1.23,0.25
24,10.461,-3.3,0.96,1.17
25,10.479,-0.87,1.91,-1.13
26,10.499,1.6,2.55,-3.3
27,10.523,2.58,2.81,-3.52
28,10.536,2.43,2.49,-1.42
29,10.555,1.33,2.81,2.95
30,10.574,-0.74,5.07,4.14
31,10.598,-1.39,5.64,4.32
32,10.622,-2.9,6.9,3.17
33,10.631,-2.99,7.61,2.75
34,10.65,-2.71,8.22,0.97
35,10.669,-2.59,8.05,-2.22
36,10.688,-2.4,7.05,-4.21
37,10.708,0.08,6.02,-4.89
38,10.736,2.14,5.25,-5.43
39,10.745,2.93,4.64,-7.84
40,10.765,2.54,1.3,-19.09
41,10.783,2.83,-0.64,-19.32
42,10.802,0.09,-3.87,-4.54
43,10.829,-5.82,-2.17,-3.36
44,10.84,-5.95,0.79,-1.63
45,10.86,-3.32,5.38,2.59
46,10.91,1.49,7.06,3.55
47,10.932,-0.28,0.53,1.92
48,10.934,-0.44,-7.03,1.7
49,10.94,1.72,-9.32,-0.32
50,10.955,3.59,-7.09,-0.29
51,10.974,3.78,-2.54,2.53
52,10.996,3.57,-1.57,4.39
53,11.013,2.8,-1.43,4.4
54,11.031,2.31,-1.93,3.74
55,11.05,2.31,-2.47,2.93
56,11.069,2.67,-2.58,1.91
57,11.087,3.21,-1.78,1.13
58,11.106,3.54,0.43,1.32
59,11.13,3.38,1.64,2.03
60,11.145,3.08,2.73,2.63
61,11.165,2.87,3.22,3.09
62,11.182,2.66,3.24,3.16
63,11.202,0.19,2.81,0.84
64,11.228,-1.91,2.0,-1.25
65,11.24,-3.07,0.97,-0.92
66,11.259,-3.17,0.52,2.79
67,11.278,-2.18,0.46,3.47
68,11.298,-0.38,0.16,3.44
69,11.326,1.67,-0.32,3.1
70,11.334,3.63,-0.34,0.86
71,11.355,5.13,0.27,-2.66
72,11.374,4.8,0.46,-3.13
73,11.398,1.84,-0.47,-2.8
74,11.426,1.65,-4.1,-1.79
75,11.43,-0.9,-7.84,-0.11
76,11.449,-8.48,-9.76,-2.28
77,11.469,-12.2,-7.39,-3.89
78,11.487,-11.8,-5.17,0.71
79,11.506,-11.04,-4.85,4.43
80,11.527,-10.88,-4.81,4.74
81,11.544,-10.09,-2.65,4.06
82,11.564,-6.47,-0.49,2.93
83,11.582,-2.34,0.47,1.79
84,11.602,-0.41,0.88,1.59
85,11.625,0.13,1.38,1.84
86,11.64,0.27,2.28,1.57
87,11.66,0.09,3.28,1.01
88,11.677,-0.18,4.28,0.92
89,11.698,-0.23,5.11,1.39
90,11.732,0.23,5.85,2.03
91,11.735,1.37,6.22,2.28
92,11.755,2.48,5.81,1.37
93,11.772,2.75,5.3,-0.71
94,11.797,2.08,2.88,-6.75
95,11.825,1.04,2.1,-7.41
96,11.829,0.45,1.83,-7.06
97,11.848,0.31,1.58,-6.95
98,11.869,0.91,0.9,-7.64
99,11.887,2.08,-1.37,-8.27
100,11.906,2.67,-1.61,-8.6
101,11.933,2.7,0.53,-8.15
102,11.945,2.26,2.64,-3.5
103,11.963,1.64,2.94,-0.48
104,11.982,-6.26,-3.49,7.95
105,12.001,-10.49,-15.16,1.74
106,12.027,-10.19,-13.46,-4.12
107,12.039,-6.6,-0.74,1.51
108,12.059,-6.83,5.19,8.6
109,12.077,-4.37,5.53,13.31
110,12.096,-0.67,3.2,15.98
111,12.116,1.79,-3.18,16.89
112,12.138,5.06,-6.92,15.27
113,12.153,5.4,-7.03,13.52
114,12.172,9.46,-1.91,2.64
115,12.196,9.48,-0.66,-3.8
116,12.222,1.58,-0.51,-2.03
117,12.231,-2.28,-0.71,3.67
118,12.249,-2.47,-0.95,6.45
119,12.268,0.03,-1.47,5.67
120,12.287,2.49,-1.38,2.96
121,12.306,4.64,0.83,1.55
122,12.348,6.39,1.58,1.36
123,12.351,6.65,2.36,0.79
124,12.363,6.15,2.62,-0.44
125,12.382,2.49,2.0,-1.08
126,12.401,-0.03,1.14,-1.06
127,12.43,-1.33,0.94,-1.53
128,12.439,-2.35,0.99,-1.85
129,12.459,-2.44,0.96,-1.32
130,12.477,-1.77,0.89,0.76
131,12.496,-1.26,0.54,1.9
132,12.515,-1.41,-0.13,2.74
133,12.551,-2.11,-1.07,3.31
134,12.553,-2.63,-1.59,3.43
135,12.572,-3.45,-2.86,1.37
136,12.597,-1.05,-3.43,0.46
137,12.61,0.97,-4.0,-0.2
138,12.63,1.38,-4.82,-0.32
139,12.648,1.88,-4.68,-0.22
140,12.667,2.61,-2.48,-0.27
141,12.686,0.31,-2.0,-2.41
142,12.706,-3.27,-1.65,-2.09
143,12.751,-3.46,-1.42,0.22
144,12.753,-3.02,-1.62,0.48
145,12.762,-0.43,-2.95,-0.61
146,12.802,0.78,-3.61,-3.02
147,12.82,1.33,-3.67,-4.9
148,12.823,-2.74,-3.65,-3.01
149,12.838,-5.15,-3.85,0.87
150,12.858,-5.86,-3.57,1.83
151,12.876,-5.67,-2.91,2.16
152,12.895,-5.51,-2.86,-0.0
153,12.915,0.02,-2.18,-1.96
154,12.953,3.76,-0.53,-2.76
155,12.955,4.31,-0.51,-2.67
156,12.972,3.72,-0.29,-1.74
157,12.994,3.17,0.66,-0.96
158,13.024,2.1,2.77,1.03
159,13.028,0.09,6.31,4.44
160,13.048,-2.07,8.41,5.16
161,13.066,-2.6,9.01,4.75
162,13.085,-2.38,9.07,2.59
163,13.105,-1.15,9.09,0.48
164,13.142,-0.1,8.6,-1.99
165,13.144,0.28,8.04,-3.46
166,13.162,2.76,4.27,-4.5
167,13.181,3.9,3.53,-4.34
168,13.2,2.2,0.32,-10.57
169,13.219,-1.52,-5.17,-11.31
170,13.238,-1.12,-8.84,-5.95
171,13.266,-1.24,-6.26,-3.81
172,13.276,-1.56,2.17,-1.23
173,13.295,-1.86,5.63,3.59
174,13.318,-2.4,3.51,3.65
175,13.352,-2.55,1.12,2.07
176,13.354,0.02,-4.6,-1.59
177,13.371,3.71,-5.16,-1.51
178,13.391,3.94,-3.12,0.88
179,13.409,3.74,-2.52,2.08
180,13.432,4.07,-1.53,2.66
181,13.46,4.54,-0.75,2.33
182,13.466,4.44,-0.34,1.57
183,13.486,3.61,-0.21,1.07
184,13.505,2.35,-0.25,0.96
185,13.527,1.16,-0.06,1.32
186,13.542,0.56,0.51,2.06
187,13.561,0.36,1.29,3.04
188,13.58,-0.38,2.04,2.88
189,13.599,-1.66,2.35,0.1
190,13.618,-2.4,2.24,-0.91
191,13.638,-1.94,1.86,-0.35
192,13.659,-0.19,1.35,0.7
193,13.675,0.58,0.68,1.27
194,13.695,1.03,-0.04,1.29
195,13.714,0.81,-0.56,1.09
196,13.749,0.48,-0.77,1.06
197,13.751,0.46,-0.83,1.2
198,13.771,0.59,-0.94,1.55
199,13.791,0.53,-1.04,1.97
200,13.822,0.21,-1.33,2.65
201,13.83,-0.05,-1.63,3.11
202,13.863,-0.73,-2.26,3.94
203,13.865,-0.86,-2.63,3.99
204,13.884,-1.41,-4.73,4.31
205,13.904,-5.81,-5.67,-1.71
206,13.938,-7.4,-5.62,-4.8
207,13.947,-5.79,-3.12,-4.45
208,13.96,-3.56,-2.83,-2.7
209,13.98,-1.33,-2.8,-3.02
210,14.001,-0.08,-3.02,-3.54
211,14.031,0.93,-3.36,-1.69
212,14.037,1.14,-3.54,-0.11
213,14.058,0.33,-3.21,2.62
214,14.075,0.0,-1.11,2.7
215,14.094,-0.34,-0.22,-0.57
216,14.136,-0.92,0.57,-1.65
217,14.139,-0.69,0.85,-2.08
218,14.151,0.13,0.87,-1.95
219,14.17,0.72,0.92,-1.55
220,14.19,0.72,1.09,-1.01
221,14.208,0.01,1.8,0.08
222,14.23,-1.12,4.14,2.09
223,14.26,-2.24,6.33,2.95
224,14.267,-2.82,7.35,2.84
225,14.285,-2.75,7.4,1.82
226,14.304,-2.54,7.15,1.23
227,14.327,-1.54,6.2,-1.31
228,14.342,-0.87,5.92,-2.01
229,14.361,-0.41,6.06,-1.89
230,14.38,0.09,6.16,-1.49
231,14.399,0.35,5.55,-6.69
232,14.418,0.15,1.76,-14.7
233,14.437,0.11,-3.11,-11.1
234,14.463,1.89,-7.01,-3.5
235,14.475,0.98,-7.15,-4.25
236,14.494,-1.58,0.65,-1.47
237,14.513,-1.48,5.94,3.71
238,14.532,-1.58,5.7,5.1
239,14.55,-2.27,0.06,2.83
240,14.57,-2.34,-4.79,-0.34
241,14.588,-0.18,-7.09,-0.54
242,14.613,0.94,-5.26,0.26
243,14.633,1.49,-3.18,2.71
244,14.646,1.75,-1.52,3.78
245,14.664,2.15,-0.85,3.84
246,14.702,2.61,-0.28,3.17
247,14.725,2.79,-0.05,2.58
248,14.728,2.63,0.02,2.23
249,14.745,2.04,-0.05,1.79
250,14.76,1.62,0.16,1.63
251,14.779,1.24,0.72,2.02
252,14.798,0.72,1.39,2.42
253,14.822,-0.03,1.73,2.09
254,14.844,-0.99,1.73,1.11
255,14.855,-1.83,1.56,0.16
256,14.874,-1.84,1.35,0.09
257,14.893,-1.6,1.21,0.34
258,14.914,-0.57,0.37,1.07
259,14.945,0.14,-0.23,1.16
260,14.95,0.61,-0.45,1.11
261,14.97,0.59,-0.27,1.13
262,14.989,-0.02,0.07,1.28
263,15.007,-0.63,0.46,1.49
264,15.03,-0.82,0.61,1.73
265,15.063,-0.81,0.11,1.94
266,15.066,-0.85,-2.16,2.15
267,15.084,-0.88,-2.41,2.18
268,15.103,-0.43,-3.04,1.75
269,15.121,0.46,-2.55,1.77
270,15.149,0.92,-2.57,2.47
271,15.159,-1.05,-4.89,2.88
272,15.179,-4.95,-6.05,-0.97
273,15.198,-5.87,-6.15,-3.74
274,15.221,-4.27,-4.13,-4.54
275,15.24,-1.9,-3.14,-4.03
276,15.254,0.14,-2.88,-3.59
277,15.273,0.2,-3.0,-3.51
278,15.292,-0.49,-3.03,-2.99
279,15.311,-1.16,-2.66,-0.96
280,15.33,-1.32,-1.93,1.23
281,15.359,-0.49,-0.97,1.65
282,15.369,1.35,-0.11,1.28
283,15.389,1.27,0.33,-0.76
284,15.406,-0.76,0.4,-1.74
285,15.428,-0.24,0.25,-2.27
286,15.455,1.66,0.09,-2.04
287,15.464,1.99,0.39,-1.68
288,15.482,1.17,2.47,-1.39
289,15.502,-0.77,4.72,0.74
290,15.52,-1.73,6.63,2.0
291,15.553,-2.51,7.31,2.26
292,15.559,-2.59,7.41,1.42
293,15.577,-2.08,6.97,0.42
294,15.597,-1.24,6.54,-1.61
295,15.616,-0.37,6.28,-2.25
296,15.638,0.39,5.99,-2.6
297,15.656,0.88,5.75,-2.41
298,15.673,0.95,5.65,-2.26
299,15.695,0.48,4.96,-2.44
300,15.711,0.23,4.63,-2.56
301,15.73,-0.56,2.17,-14.42
302,15.759,1.56,-2.43,-16.09
303,15.768,2.39,-6.57,-8.09
304,15.788,0.58,-5.19,-5.97
305,15.819,-1.77,1.27,-3.97
306,15.842,-2.03,3.06,-0.13
307,15.844,-1.03,6.83,7.85
308,15.864,-0.22,2.7,6.42
309,15.883,-0.03,-4.2,1.98
310,15.902,0.65,-9.78,0.29
311,15.921,2.46,-9.7,-0.15
312,15.939,2.62,-3.84,0.74
313,15.966,1.92,-1.4,2.88
314,15.978,1.08,-0.17,3.87
315,15.996,0.69,0.6,4.22
316,16.015,0.89,0.77,3.72
317,16.043,1.37,0.36,3.18
318,16.054,1.72,-0.3,2.91
319,16.072,1.96,-0.79,2.77
320,16.091,1.86,-0.8,2.68
321,16.11,1.48,-0.47,2.94
322,16.129,0.85,0.13,3.09
323,16.159,0.04,0.72,2.64
324,16.167,-0.65,1.05,1.92
325,16.187,-1.05,1.11,1.47
326,16.209,-1.04,0.85,1.62
327,16.24,-0.8,0.48,1.91
328,16.244,-0.41,0.02,1.85
329,16.263,-0.17,-0.16,1.77
330,16.282,0.22,-0.09,1.68
331,16.301,-0.05,0.32,1.37
332,16.32,-0.45,0.6,1.06
333,16.355,-0.65,0.5,1.06
334,16.358,-0.54,0.07,1.28
335,16.377,-0.21,-0.56,1.61
336,16.396,0.17,-1.45,2.14
337,16.415,0.33,-2.6,2.67
338,16.435,0.68,-2.96,2.83
339,16.453,0.94,-2.64,2.93
340,16.481,1.15,-1.9,4.11
341,16.491,-0.72,-4.02,4.04
342,16.51,-4.85,-6.14,-1.97
343,16.529,-7.24,-6.31,-4.25
344,16.554,-4.9,-4.06,-1.98
345,16.567,-1.36,-1.99,-1.59
346,16.61,0.68,-1.27,-1.62
347,16.617,1.24,-1.05,-1.77
348,16.628,0.98,-1.54,-1.79
349,16.643,-1.07,-2.51,-1.73
350,16.662,-2.03,-3.05,-1.64
351,16.681,-2.09,-2.61,-1.24
352,16.7,-1.3,-1.5,-0.39
353,16.719,0.85,-0.45,0.17
354,16.756,1.4,0.19,-0.17
355,16.759,0.87,0.46,-0.05
356,16.777,0.59,0.62,0.61
357,16.795,1.6,0.76,0.05
358,16.819,1.93,0.7,-1.89
359,16.834,0.92,0.82,-2.19
360,16.854,-0.28,3.19,0.21
361,16.871,-1.22,5.49,2.38
362,16.89,-1.67,6.6,3.19
363,16.909,-1.69,6.87,2.78
364,16.929,-1.62,6.14,0.59
365,16.955,-1.34,5.41,-0.07
366,16.966,-0.86,5.38,-0.82
367,16.985,-0.52,5.58,-1.19
368,17.005,-0.28,5.64,-1.34
369,17.026,-0.13,5.64,-1.43
370,17.048,0.14,5.51,-2.04
371,17.061,0.06,5.38,-2.49
372,17.081,-0.36,3.54,-11.64
373,17.1,2.04,-0.45,-16.33
374,17.118,2.98,-5.09,-9.78
375,17.145,1.68,-5.36,-5.29
376,17.157,-1.43,0.04,-5.14
377,17.176,-2.31,4.06,-1.18
378,17.195,0.06,6.11,5.06
379,17.214,0.87,4.01,5.15
380,17.233,0.6,0.94,3.24
381,17.253,-0.73,-7.54,1.17
382,17.286,0.03,-7.73,0.71
383,17.294,1.75,-3.59,1.29
384,17.309,1.94,-1.68,2.5
385,17.334,1.64,-0.96,3.56
386,17.365,1.4,-1.28,4.15
387,17.373,1.59,-2.29,3.77
388,17.385,1.93,-2.89,2.66
389,17.404,1.82,-2.69,1.95
390,17.423,1.23,-1.82,2.13
391,17.443,0.63,-0.59,2.89
392,17.476,0.09,0.52,3.21
393,17.48,-0.36,1.17,3.11
394,17.499,-0.43,1.58,2.88
395,17.518,-0.21,1.9,2.48
396,17.56,-0.29,2.08,1.94
