time,ax,ay,az,wx,wy,wz
5.002,2.7,2.33,-2.74,-2.42,-1.92,-3.24
5.003,2.7,2.33,-2.74,-2.42,-1.92,-3.24
5.004,2.3,2.45,-2.75,-2.42,-1.92,-3.24
5.004,2.3,2.45,-2.75,-2.42,-1.92,-3.24
5.013,2.3,2.45,-2.75,-2.43,-1.98,-3.09
5.014,2.3,2.45,-2.75,-2.43,-1.98,-3.09
5.015,1.76,2.5,-2.6,-2.43,-1.98,-3.09
5.015,1.76,2.5,-2.6,-2.43,-1.98,-3.09
5.021,1.76,2.5,-2.6,-2.4,-1.98,-2.74
5.022,1.76,2.5,-2.6,-2.4,-1.98,-2.74
5.023,0.03,2.45,-2.37,-2.4,-1.98,-2.74
5.024,0.03,2.45,-2.37,-2.4,-1.98,-2.74
5.031,0.03,2.45,-2.37,-2.4,-1.98,-2.74
5.031,0.03,2.45,-2.37,-2.4,-1.98,-2.74
5.032,0.03,2.45,-2.37,-2.4,-1.98,-2.74
5.032,0.03,2.45,-2.37,-2.4,-1.98,-2.74
5.04,0.03,2.45,-2.37,-2.3,-1.92,-2.16
5.041,0.03,2.45,-2.37,-2.3,-1.92,-2.16
5.041,-0.78,2.03,-1.86,-2.3,-1.92,-2.16
5.042,-0.78,2.03,-1.86,-2.3,-1.92,-2.16
5.055,-0.78,2.03,-1.86,-2.1,-1.75,-1.26
5.056,-0.78,2.03,-1.86,-2.1,-1.75,-1.26
5.056,-1.31,1.74,-1.62,-2.1,-1.75,-1.26
5.056,-1.31,1.74,-1.62,-2.1,-1.75,-1.26
5.059,-1.31,1.74,-1.62,-1.78,-1.44,-0.09
5.059,-1.31,1.74,-1.62,-1.78,-1.44,-0.09
5.06,-1.69,1.5,-1.42,-1.78,-1.44,-0.09
5.06,-1.69,1.5,-1.42,-1.78,-1.44,-0.09
5.069,-1.69,1.5,-1.42,-1.31,-1.02,1.2
5.07,-1.69,1.5,-1.42,-1.31,-1.02,1.2
5.07,-1.81,1.31,-1.27,-1.31,-1.02,1.2
5.071,-1.81,1.31,-1.27,-1.31,-1.02,1.2
5.079,-1.81,1.31,-1.27,-0.77,-0.57,2.31
5.08,-1.81,1.31,-1.27,-0.77,-0.57,2.31
5.081,-1.7,1.2,-1.2,-0.77,-0.57,2.31
5.081,-1.7,1.2,-1.2,-0.77,-0.57,2.31
5.088,-1.7,1.2,-1.2,-0.24,-0.21,3.07
5.09,-1.7,1.2,-1.2,-0.24,-0.21,3.07
5.091,-1.46,1.06,-1.23,-0.24,-0.21,3.07
5.092,-1.46,1.06,-1.23,-0.24,-0.21,3.07
5.097,-1.46,1.06,-1.23,0.19,-0.01,3.45
5.098,-1.46,1.06,-1.23,0.19,-0.01,3.45
5.098,-1.28,0.82,-1.38,0.19,-0.01,3.45
5.099,-1.28,0.82,-1.38,0.19,-0.01,3.45
5.107,-1.28,0.82,-1.38,0.46,0.04,3.49
5.108,-1.28,0.82,-1.38,0.46,0.04,3.49
5.109,-1.35,0.39,-1.67,0.46,0.04,3.49
5.11,-1.35,0.39,-1.67,0.46,0.04,3.49
5.117,-1.35,0.39,-1.67,0.57,-0.05,3.27
5.118,-1.35,0.39,-1.67,0.57,-0.05,3.27
5.118,-1.82,-1.2,-1.99,0.57,-0.05,3.27
5.119,-1.82,-1.2,-1.99,0.57,-0.05,3.27
5.126,-1.82,-1.2,-1.99,0.53,-0.22,2.9
5.127,-1.82,-1.2,-1.99,0.53,-0.22,2.9
5.127,-3.53,-2.89,-2.18,0.53,-0.22,2.9
5.128,-3.53,-2.89,-2.18,0.53,-0.22,2.9
5.135,-3.53,-2.89,-2.18,0.4,-0.39,2.53
5.136,-3.53,-2.89,-2.18,0.4,-0.39,2.53
5.137,-4.08,-4.76,-2.13,0.4,-0.39,2.53
5.137,-4.08,-4.76,-2.13,0.4,-0.39,2.53
5.145,-4.08,-4.76,-2.13,0.3,-0.46,2.29
5.146,-4.08,-4.76,-2.13,0.3,-0.46,2.29
5.146,-4.31,-5.12,-1.83,0.3,-0.46,2.29
5.147,-4.31,-5.12,-1.83,0.3,-0.46,2.29
5.156,-4.31,-5.12,-1.83,0.29,-0.41,2.17
5.157,-4.31,-5.12,-1.83,0.29,-0.41,2.17
5.158,-2.79,-5,-1.3,0.29,-0.41,2.17
5.159,-2.79,-5,-1.3,0.29,-0.41,2.17
5.163,-2.79,-5,-1.3,0.37,-0.32,2.04
