time,ax,ay,az,wx,wy,wz
5.006,0.03,0.25,-0.03,0,0,0
5.007,0.03,0.25,-0.03,0,0,0
5.007,0.03,0.25,-0.03,0,0,0
5.007,0.03,0.25,-0.03,0,0,0
5.016,0.03,0.25,-0.03,0,0,0
5.018,0.03,0.25,-0.03,0,0,0
5.018,0.03,0.25,-0.03,0,0,0
5.019,0.03,0.25,-0.03,0,0,0
5.025,0.03,0.25,-0.03,0,0,0
5.026,0.03,0.25,-0.03,0,0,0
5.027,0.03,0.25,-0.03,0,0,0
5.027,0.03,0.25,-0.03,0,0,0
5.034,0.03,0.25,-0.03,0,0,0
5.036,0.03,0.25,-0.03,0,0,0
5.037,0.03,0.25,-0.03,0,0,0
5.038,0.03,0.25,-0.03,0,0,0
5.043,0.03,0.25,-0.03,0,0,0
5.044,0.03,0.25,-0.03,0,0,0
5.045,0.03,0.25,-0.03,0,0,0
5.045,0.03,0.25,-0.03,0,0,0
5.055,0.03,0.25,-0.03,0,0,0
5.056,0.03,0.25,-0.03,0,0,0
5.057,0.03,0.25,-0.03,0,0,0
5.058,0.03,0.25,-0.03,0,0,0
5.063,0.03,0.25,-0.03,0,0,0
5.064,0.03,0.25,-0.03,0,0,0
5.065,0.03,0.25,-0.03,0,0,0
5.067,0.03,0.25,-0.03,0,0,0
5.071,0.03,0.25,-0.03,0,0,0
5.072,0.03,0.25,-0.03,0,0,0
5.073,0.03,0.25,-0.03,0,0,0
5.073,0.03,0.25,-0.03,0,0,0
5.082,0.03,0.25,-0.03,0,0,0
5.082,0.03,0.25,-0.03,0,0,0
5.083,0.03,0.25,-0.03,0,0,0
5.084,0.03,0.25,-0.03,0,0,0
5.104,0.03,0.25,-0.03,0,0,0
5.106,0.03,0.25,-0.03,0,0,0
5.107,0.03,0.25,-0.03,0,0,0
5.107,0.03,0.25,-0.03,0,0,0
5.108,0.03,0.25,-0.03,0,0,0
5.109,0.03,0.25,-0.03,0,0,0
5.11,0.03,0.25,-0.03,0,0,0
5.111,0.03,0.25,-0.03,0,0,0
5.112,0.03,0.25,-0.03,0,0,0
5.112,0.03,0.25,-0.03,0,0,0
5.113,0.03,0.25,-0.03,0,0,0
5.114,0.03,0.25,-0.03,0,0,0
5.119,0.03,0.25,-0.03,0,0,0
5.12,0.03,0.25,-0.03,0,0,0
5.121,0.03,0.25,-0.03,0,0,0
5.121,0.03,0.25,-0.03,0,0,0
5.129,0.03,0.25,-0.03,0,0,0
5.13,0.03,0.25,-0.03,0,0,0
5.13,0.03,0.25,-0.03,0,0,0
5.131,0.03,0.25,-0.03,0,0,0
5.138,0.03,0.25,-0.03,0,0,0
5.14,0.03,0.25,-0.03,0,0,0
5.14,0.03,0.25,-0.03,0,0,0
5.141,0.03,0.25,-0.03,0,0,0
5.148,0.03,0.25,-0.03,0,0,0
5.148,0.03,0.25,-0.03,0,0,0
5.149,0.03,0.25,-0.03,0,0,0
5.149,0.03,0.25,-0.03,0,0,0
5.157,0.03,0.25,-0.03,0,0,0
5.158,0.03,0.25,-0.03,0,0,0
5.159,0.03,0.25,-0.03,0,0,0
5.159,0.03,0.25,-0.03,0,0,0
5.172,0.03,0.25,-0.03,0,0,0
5.172,0.03,0.25,-0.03,0,0,0
5.173,0.03,0.25,-0.03,0,0,0
5.173,0.03,0.25,-0.03,0,0,0
5.177,0.03,0.25,-0.03,0,0,0
5.177,0.03,0.25,-0.03,0,0,0
5.178,0.03,0.25,-0.03,0,0,0
5.178,0.03,0.25,-0.03,0,0,0
5.186,0.03,0.25,-0.03,0,0,0
5.187,0.03,0.25,-0.03,0,0,0
5.189,0.03,0.25,-0.03,0,0,0
5.189,0.03,0.25,-0.03,0,0,0
5.195,0.03,0.25,-0.03,0,0,0
5.196,0.03,0.25,-0.03,0,0,0
5.197,0.03,0.25,-0.03,0,0,0
5.197,0.03,0.25,-0.03,0,0,0
5.205,0.03,0.25,-0.03,0,0,0
5.207,0.03,0.25,-0.03,0,0,0
5.207,-0.23,0.23,0.41,0,0,0
5.208,-0.23,0.23,0.41,0,0,0
5.214,-0.23,0.23,0.41,0,0,0
5.215,-0.23,0.23,0.41,0,0,0
5.216,-0.25,0.18,0.38,0,0,0
5.216,-0.25,0.18,0.38,0,0,0
5.224,-0.25,0.18,0.38,0,0,0
5.227,-0.25,0.18,0.38,0,0,0
5.228,-0.26,0.14,0.35,0,0,0
5.228,-0.26,0.14,0.35,0,0,0
5.234,-0.26,0.14,0.35,0,0,0
5.235,-0.26,0.14,0.35,0,0,0
5.236,-0.26,0.14,0.35,0,0,0
5.236,-0.26,0.14,0.35,0,0,0
5.243,-0.26,0.14,0.35,0,0,0
5.244,-0.26,0.14,0.35,0,0,0
5.245,-0.21,0.12,0.31,0,0,0
5.246,-0.21,0.12,0.31,0,0,0
5.256,-0.21,0.12,0.31,0,0,0
5.257,-0.21,0.12,0.31,0,0,0
5.258,-0.2,0.11,0.33,0,0,0
5.258,-0.2,0.11,0.33,0,0,0
5.263,-0.2,0.11,0.33,0,0,0
5.264,-0.2,0.11,0.33,0,0,0
5.264,-0.21,0.11,0.34,0,0,0
5.265,-0.21,0.11,0.34,0,0,0
5.272,-0.21,0.11,0.34,0,0,0
5.273,-0.21,0.11,0.34,0,0,0
5.274,-0.22,0.12,0.33,0,0,0
5.274,-0.22,0.12,0.33,0,0,0
5.283,-0.22,0.12,0.33,0,0,0
5.284,-0.22,0.12,0.33,0,0,0
5.285,-0.23,0.13,0.28,0,0,0
5.285,-0.23,0.13,0.28,0,0,0
5.29,-0.23,0.13,0.28,0,0,0
5.291,-0.23,0.13,0.28,0,0,0
5.292,-0.18,0.18,0.23,0,0,0
5.293,-0.18,0.18,0.23,0,0,0
5.3,-0.18,0.18,0.23,0,0,0
5.301,-0.18,0.18,0.23,0,0,0
5.301,-0.03,0.23,0.21,0,0,0
5.302,-0.03,0.23,0.21,0,0,0
5.31,-0.03,0.23,0.21,0,0,0
5.312,-0.03,0.23,0.21,0,0,0
5.313,0.11,0.29,0.19,0,0,0
5.314,0.11,0.29,0.19,0,0,0
5.319,0.11,0.29,0.19,0,0,0
5.321,0.11,0.29,0.19,0,0,0
5.322,0.2,0.38,0.25,0,0,0
5.323,0.2,0.38,0.25,0,0,0
5.329,0.2,0.38,0.25,0,0,0
5.329,0.2,0.38,0.25,0,0,0
5.33,0.25,0.44,0.32,0,0,0
5.33,0.25,0.44,0.32,0,0,0
5.339,0.25,0.44,0.32,0,0,0
5.34,0.25,0.44,0.32,0,0,0
5.34,0.21,0.48,0.42,0,0,0
5.341,0.21,0.48,0.42,0,0,0
5.355,0.21,0.48,0.42,0,0,0
5.357,0.21,0.48,0.42,0,0,0
5.357,0.14,0.52,0.54,0,0,0
5.358,0.14,0.52,0.54,0,0,0
5.359,0.14,0.52,0.54,0,0,0
5.36,0.14,0.52,0.54,0,0,0
5.361,0.08,0.51,0.61,0,0,0
5.361,0.08,0.51,0.61,0,0,0
5.369,0.08,0.51,0.61,0,0,0
5.37,0.08,0.51,0.61,0,0,0
5.371,0.01,0.51,0.61,0,0,0
5.371,0.01,0.51,0.61,0,0,0
5.377,0.01,0.51,0.61,0.21,-0.28,-0.16
5.378,0.01,0.51,0.61,0.21,-0.28,-0.16
