
time,ax,ay,az,wx,wy,wz,
0.002,-0.04,0.02,0.81,-0.05,-0.00,-0.04,
0.002,-0.04,0.02,0.81,-0.05,-0.00,-0.04,
0.003,-0.07,-0.01,0.74,-0.05,-0.00,-0.04,
0.003,-0.07,-0.01,0.74,-0.05,-0.00,-0.04,
0.009,-0.07,-0.01,0.74,-0.09,0.02,0.00,
0.01,-0.07,-0.01,0.74,-0.09,0.02,0.00,
0.01,-0.11,-0.05,0.58,-0.09,0.02,0.00,
0.01,-0.11,-0.05,0.58,-0.09,0.02,0.00,
0.019,-0.11,-0.05,0.58,-0.13,0.04,0.04,
0.019,-0.11,-0.05,0.58,-0.13,0.04,0.04,
0.02,-0.14,-0.08,0.34,-0.13,0.04,0.04,
0.02,-0.14,-0.08,0.34,-0.13,0.04,0.04,
0.028,-0.14,-0.08,0.34,-0.15,0.07,0.06,
0.029,-0.14,-0.08,0.34,-0.15,0.07,0.06,
0.029,-0.14,-0.06,0.15,-0.15,0.07,0.06,
0.03,-0.14,-0.06,0.15,-0.15,0.07,0.06,
0.038,-0.14,-0.06,0.15,-0.17,0.09,0.07,
0.038,-0.14,-0.06,0.15,-0.17,0.09,0.07,
0.039,-0.10,-0.02,0.05,-0.17,0.09,0.07,
0.039,-0.10,-0.02,0.05,-0.17,0.09,0.07,
0.047,-0.10,-0.02,0.05,-0.16,0.12,0.08,
0.048,-0.10,-0.02,0.05,-0.16,0.12,0.08,
0.048,-0.01,0.01,0.06,-0.16,0.12,0.08,
0.049,-0.01,0.01,0.06,-0.16,0.12,0.08,
0.067,-0.01,0.01,0.06,-0.14,0.12,0.06,
0.067,-0.01,0.01,0.06,-0.14,0.12,0.06,
0.068,0.09,0.06,0.17,-0.14,0.12,0.06,
0.068,0.09,0.06,0.17,-0.14,0.12,0.06,
0.068,0.09,0.06,0.17,-0.14,0.12,0.06,
0.069,0.09,0.06,0.17,-0.14,0.12,0.06,
0.069,0.09,0.06,0.17,-0.14,0.12,0.06,
0.07,0.09,0.06,0.17,-0.14,0.12,0.06,
0.076,0.09,0.06,0.17,-0.07,0.06,0.01,
0.077,0.09,0.06,0.17,-0.07,0.06,0.01,
0.077,0.25,0.11,0.40,-0.07,0.06,0.01,
0.078,0.25,0.11,0.40,-0.07,0.06,0.01,
0.085,0.25,0.11,0.40,-0.07,0.06,0.01,
0.086,0.25,0.11,0.40,-0.07,0.06,0.01,
0.086,0.25,0.11,0.40,-0.07,0.06,0.01,
0.087,0.25,0.11,0.40,-0.07,0.06,0.01,
0.095,0.25,0.11,0.40,-0.03,0.00,0.00,
0.096,0.25,0.11,0.40,-0.03,0.00,0.00,
0.096,0.27,0.12,0.52,-0.03,0.00,0.00,
0.096,0.27,0.12,0.52,-0.03,0.00,0.00,
0.105,0.27,0.12,0.52,-0.01,-0.07,0.01,
0.106,0.27,0.12,0.52,-0.01,-0.07,0.01,
0.107,0.24,0.12,0.50,-0.01,-0.07,0.01,
0.108,0.24,0.12,0.50,-0.01,-0.07,0.01,
0.121,0.24,0.12,0.50,-0.00,-0.12,0.03,
0.122,0.24,0.12,0.50,-0.00,-0.12,0.03,
0.122,0.19,0.09,0.41,-0.00,-0.12,0.03,
0.123,0.19,0.09,0.41,-0.00,-0.12,0.03,
0.123,0.19,0.09,0.41,-0.00,-0.16,0.04,
0.124,0.19,0.09,0.41,-0.00,-0.16,0.04,
0.124,0.13,0.06,0.25,-0.00,-0.16,0.04,
0.125,0.13,0.06,0.25,-0.00,-0.16,0.04,
0.136,0.13,0.06,0.25,-0.00,-0.17,0.03,
0.137,0.13,0.06,0.25,-0.00,-0.17,0.03,
0.137,0.09,0.03,0.03,-0.00,-0.17,0.03,
0.137,0.09,0.03,0.03,-0.00,-0.17,0.03,
0.143,0.09,0.03,0.03,-0.01,-0.15,0.03,
0.144,0.09,0.03,0.03,-0.01,-0.15,0.03,
0.144,0.05,0.00,-0.19,-0.01,-0.15,0.03,
0.144,0.05,0.00,-0.19,-0.01,-0.15,0.03,
0.152,0.05,0.00,-0.19,-0.00,-0.12,0.03,
0.153,0.05,0.00,-0.19,-0.00,-0.12,0.03,
0.153,0.02,-0.01,-0.36,-0.00,-0.12,0.03,
0.154,0.02,-0.01,-0.36,-0.00,-0.12,0.03,
0.171,0.02,-0.01,-0.36,0.01,-0.07,0.04,
0.172,0.02,-0.01,-0.36,0.01,-0.07,0.04,
0.172,-0.01,-0.00,-0.45,0.01,-0.07,0.04,
0.173,-0.01,-0.00,-0.45,0.01,-0.07,0.04,
0.174,-0.01,-0.00,-0.45,0.02,-0.02,0.07,
0.174,-0.01,-0.00,-0.45,0.02,-0.02,0.07,
0.175,-0.00,0.01,-0.42,0.02,-0.02,0.07,
0.175,-0.00,0.01,-0.42,0.02,-0.02,0.07,
0.19,-0.00,0.01,-0.42,0.04,0.02,0.09,
0.191,-0.00,0.01,-0.42,0.04,0.02,0.09,
0.191,0.03,0.04,-0.31,0.04,0.02,0.09,
0.191,0.03,0.04,-0.31,0.04,0.02,0.09,
0.192,0.03,0.04,-0.31,0.06,0.06,0.10,
0.192,0.03,0.04,-0.31,0.06,0.06,0.10,
0.192,0.09,0.06,-0.16,0.06,0.06,0.10,
0.193,0.09,0.06,-0.16,0.06,0.06,0.10,
0.201,0.09,0.06,-0.16,0.08,0.07,0.09,
0.202,0.09,0.06,-0.16,0.08,0.07,0.09,
0.203,0.15,0.08,0.00,0.08,0.07,0.09,
0.204,0.15,0.08,0.00,0.08,0.07,0.09,
0.209,0.15,0.08,0.00,0.08,0.06,0.07,
0.21,0.15,0.08,0.00,0.08,0.06,0.07,
0.211,0.19,0.08,0.17,0.08,0.06,0.07,
0.212,0.19,0.08,0.17,0.08,0.06,0.07,
0.219,0.19,0.08,0.17,0.08,0.04,0.05,
0.22,0.19,0.08,0.17,0.08,0.04,0.05,
0.221,0.20,0.08,0.34,0.08,0.04,0.05,
0.222,0.20,0.08,0.34,0.08,0.04,0.05,
0.228,0.20,0.08,0.34,0.07,-0.00,0.03,
0.229,0.20,0.08,0.34,0.07,-0.00,0.03,
0.23,0.16,0.11,0.53,0.07,-0.00,0.03,
0.23,0.16,0.11,0.53,0.07,-0.00,0.03,
0.238,0.16,0.11,0.53,0.04,-0.04,0.02,
0.239,0.16,0.11,0.53,0.04,-0.04,0.02,
0.24,0.10,0.13,0.72,0.04,-0.04,0.02,
0.241,0.10,0.13,0.72,0.04,-0.04,0.02,
0.248,0.10,0.13,0.72,0.01,-0.06,0.02,
0.249,0.10,0.13,0.72,0.01,-0.06,0.02,
0.249,0.03,0.14,0.85,0.01,-0.06,0.02,
0.25,0.03,0.14,0.85,0.01,-0.06,0.02,
0.27,0.03,0.14,0.85,-0.02,-0.06,0.03,
0.271,0.03,0.14,0.85,-0.02,-0.06,0.03,
0.271,-0.02,0.12,0.84,-0.02,-0.06,0.03,
0.272,-0.02,0.12,0.84,-0.02,-0.06,0.03,
0.272,-0.02,0.12,0.84,-0.02,-0.06,0.03,
0.273,-0.02,0.12,0.84,-0.02,-0.06,0.03,
0.273,-0.02,0.12,0.84,-0.02,-0.06,0.03,
0.274,-0.02,0.12,0.84,-0.02,-0.06,0.03,
0.276,-0.02,0.12,0.84,-0.07,0.00,0.06,
0.277,-0.02,0.12,0.84,-0.07,0.00,0.06,
0.278,-0.10,0.01,0.16,-0.07,0.00,0.06,
0.278,-0.10,0.01,0.16,-0.07,0.00,0.06,
0.285,-0.10,0.01,0.16,-0.07,0.00,0.06,
0.286,-0.10,0.01,0.16,-0.07,0.00,0.06,
0.287,-0.10,0.01,0.16,-0.07,0.00,0.06,
0.287,-0.10,0.01,0.16,-0.07,0.00,0.06,
