
time,ax,ay,az,wx,wy,wz,
0.001,0.38,0.13,1.52,-0.11,-0.02,0.03,
0.002,0.38,0.13,1.52,-0.11,-0.02,0.03,
0.002,0.42,0.10,1.47,-0.11,-0.02,0.03,
0.003,0.42,0.10,1.47,-0.11,-0.02,0.03,
0.006,0.42,0.10,1.47,-0.20,-0.08,-0.00,
0.007,0.42,0.10,1.47,-0.20,-0.08,-0.00,
0.008,0.38,0.05,1.11,-0.20,-0.08,-0.00,
0.008,0.38,0.05,1.11,-0.20,-0.08,-0.00,
0.014,0.38,0.05,1.11,-0.27,-0.15,-0.03,
0.015,0.38,0.05,1.11,-0.27,-0.15,-0.03,
0.015,0.27,0.02,0.61,-0.27,-0.15,-0.03,
0.016,0.27,0.02,0.61,-0.27,-0.15,-0.03,
0.024,0.27,0.02,0.61,-0.30,-0.21,-0.05,
0.025,0.27,0.02,0.61,-0.30,-0.21,-0.05,
0.025,0.15,0.00,0.17,-0.30,-0.21,-0.05,
0.026,0.15,0.00,0.17,-0.30,-0.21,-0.05,
0.034,0.15,0.00,0.17,-0.30,-0.23,-0.07,
0.035,0.15,0.00,0.17,-0.30,-0.23,-0.07,
0.035,0.04,-0.01,-0.10,-0.30,-0.23,-0.07,
0.035,0.04,-0.01,-0.10,-0.30,-0.23,-0.07,
0.046,0.04,-0.01,-0.10,-0.26,-0.21,-0.08,
0.046,0.04,-0.01,-0.10,-0.26,-0.21,-0.08,
0.047,-0.01,0.01,-0.18,-0.26,-0.21,-0.08,
0.047,-0.01,0.01,-0.18,-0.26,-0.21,-0.08,
0.053,-0.01,0.01,-0.18,-0.26,-0.21,-0.08,
0.053,-0.01,0.01,-0.18,-0.26,-0.21,-0.08,
0.054,-0.01,0.01,-0.18,-0.26,-0.21,-0.08,
0.054,-0.01,0.01,-0.18,-0.26,-0.21,-0.08,
0.062,-0.01,0.01,-0.18,-0.19,-0.15,-0.08,
0.063,-0.01,0.01,-0.18,-0.19,-0.15,-0.08,
0.063,0.03,0.03,0.08,-0.19,-0.15,-0.08,
0.064,0.03,0.03,0.08,-0.19,-0.15,-0.08,
0.072,0.03,0.03,0.08,-0.13,-0.09,-0.07,
0.072,0.03,0.03,0.08,-0.13,-0.09,-0.07,
0.073,0.10,0.05,0.28,-0.13,-0.09,-0.07,
0.073,0.10,0.05,0.28,-0.13,-0.09,-0.07,
0.082,0.10,0.05,0.28,-0.07,-0.03,-0.06,
0.082,0.10,0.05,0.28,-0.07,-0.03,-0.06,
