
time,ax,ay,az,wx,wy,wz,
0.001,0.03,-0.05,0.75,0.00,-0.00,0.00,
0.002,0.03,-0.05,0.75,0.00,-0.00,0.00,
0.002,-0.06,-0.11,0.29,0.00,-0.00,0.00,
0.002,-0.06,-0.11,0.29,0.00,-0.00,0.00,
0.006,-0.06,-0.11,0.29,0.00,0.00,-0.00,
0.007,-0.06,-0.11,0.29,0.00,0.00,-0.00,
0.007,-0.15,-0.10,-0.12,0.00,0.00,-0.00,
0.008,-0.15,-0.10,-0.12,0.00,0.00,-0.00,
0.016,-0.15,-0.10,-0.12,0.00,0.00,0.00,
0.017,-0.15,-0.10,-0.12,0.00,0.00,0.00,
0.017,-0.19,-0.04,-0.34,0.00,0.00,0.00,
0.017,-0.19,-0.04,-0.34,0.00,0.00,0.00,
0.026,-0.19,-0.04,-0.34,-0.16,-0.04,-0.07,
0.026,-0.19,-0.04,-0.34,-0.16,-0.04,-0.07,
0.027,-0.13,0.06,-0.35,-0.16,-0.04,-0.07,
0.027,-0.13,0.06,-0.35,-0.16,-0.04,-0.07,
0.036,-0.13,0.06,-0.35,-0.13,0.02,-0.05,
0.037,-0.13,0.06,-0.35,-0.13,0.02,-0.05,
0.037,-0.01,0.16,-0.19,-0.13,0.02,-0.05,
0.038,-0.01,0.16,-0.19,-0.13,0.02,-0.05,
0.044,-0.01,0.16,-0.19,-0.07,0.08,-0.03,
0.045,-0.01,0.16,-0.19,-0.07,0.08,-0.03,
0.046,0.14,0.23,0.02,-0.07,0.08,-0.03,
0.046,0.14,0.23,0.02,-0.07,0.08,-0.03,
0.054,0.14,0.23,0.02,-0.00,0.10,0.01,
0.055,0.14,0.23,0.02,-0.00,0.10,0.01,
0.055,0.20,0.29,0.18,-0.00,0.10,0.01,
0.055,0.20,0.29,0.18,-0.00,0.10,0.01,
0.063,0.20,0.29,0.18,0.07,0.08,0.03,
0.064,0.20,0.29,0.18,0.07,0.08,0.03,
0.065,0.17,0.29,0.25,0.07,0.08,0.03,
0.065,0.17,0.29,0.25,0.07,0.08,0.03,
0.075,0.17,0.29,0.25,0.12,0.03,0.04,
0.076,0.17,0.29,0.25,0.12,0.03,0.04,
0.076,0.05,0.21,0.19,0.12,0.03,0.04,
0.076,0.05,0.21,0.19,0.12,0.03,0.04,
0.083,0.05,0.21,0.19,0.15,-0.03,0.04,
0.084,0.05,0.21,0.19,0.15,-0.03,0.04,
0.084,-0.10,0.11,0.11,0.15,-0.03,0.04,
0.084,-0.10,0.11,0.11,0.15,-0.03,0.04,
0.093,-0.10,0.11,0.11,0.16,-0.06,0.02,
0.094,-0.10,0.11,0.11,0.16,-0.06,0.02,
0.094,-0.19,0.02,0.10,0.16,-0.06,0.02,
0.094,-0.19,0.02,0.10,0.16,-0.06,0.02,
0.102,-0.19,0.02,0.10,0.14,-0.05,0.01,
0.103,-0.19,0.02,0.10,0.14,-0.05,0.01,
0.103,-0.22,-0.02,0.16,0.14,-0.05,0.01,
0.103,-0.22,-0.02,0.16,0.14,-0.05,0.01,
0.112,-0.22,-0.02,0.16,0.10,0.01,0.01,
0.113,-0.22,-0.02,0.16,0.10,0.01,0.01,
0.114,-0.19,-0.01,0.28,0.10,0.01,0.01,
0.114,-0.19,-0.01,0.28,0.10,0.01,0.01,
0.121,-0.19,-0.01,0.28,0.04,0.07,0.02,
0.122,-0.19,-0.01,0.28,0.04,0.07,0.02,
