
time,ax,ay,az,wx,wy,wz,
0.001,-0.26,0.11,0.33,0.06,0.24,0.01,
0.002,-0.26,0.11,0.33,0.06,0.24,0.01,
0.002,-0.34,0.06,0.20,0.06,0.24,0.01,
0.003,-0.34,0.06,0.20,0.06,0.24,0.01,
0.01,-0.34,0.06,0.20,0.06,0.20,-0.00,
0.011,-0.34,0.06,0.20,0.06,0.20,-0.00,
0.011,-0.44,0.05,0.05,0.06,0.20,-0.00,
0.011,-0.44,0.05,0.05,0.06,0.20,-0.00,
0.027,-0.44,0.05,0.05,0.04,0.16,-0.02,
0.027,-0.44,0.05,0.05,0.04,0.16,-0.02,
0.028,-0.50,0.07,-0.03,0.04,0.16,-0.02,
0.028,-0.50,0.07,-0.03,0.04,0.16,-0.02,
0.028,-0.50,0.07,-0.03,0.04,0.16,-0.02,
0.029,-0.50,0.07,-0.03,0.04,0.16,-0.02,
0.029,-0.52,0.04,-0.08,0.04,0.16,-0.02,
0.029,-0.52,0.04,-0.08,0.04,0.16,-0.02,
0.042,-0.52,0.04,-0.08,0.04,0.19,-0.01,
0.043,-0.52,0.04,-0.08,0.04,0.19,-0.01,
0.043,-0.46,0.04,-0.06,0.04,0.19,-0.01,
0.044,-0.46,0.04,-0.06,0.04,0.19,-0.01,
0.045,-0.46,0.04,-0.06,0.05,0.23,0.01,
0.045,-0.46,0.04,-0.06,0.05,0.23,0.01,
0.046,-0.37,0.03,-0.01,0.05,0.23,0.01,
0.046,-0.37,0.03,-0.01,0.05,0.23,0.01,
0.054,-0.37,0.03,-0.01,0.06,0.25,0.02,
0.055,-0.37,0.03,-0.01,0.06,0.25,0.02,
0.055,-0.31,0.05,0.05,0.06,0.25,0.02,
0.056,-0.31,0.05,0.05,0.06,0.25,0.02,
0.064,-0.31,0.05,0.05,0.07,0.25,0.02,
0.064,-0.31,0.05,0.05,0.07,0.25,0.02,
0.065,-0.25,0.10,0.13,0.07,0.25,0.02,
0.065,-0.25,0.10,0.13,0.07,0.25,0.02,
0.074,-0.25,0.10,0.13,0.06,0.22,0.03,
0.075,-0.25,0.10,0.13,0.06,0.22,0.03,
0.075,-0.18,0.11,0.18,0.06,0.22,0.03,
0.076,-0.18,0.11,0.18,0.06,0.22,0.03,
0.084,-0.18,0.11,0.18,0.05,0.17,0.04,
0.085,-0.18,0.11,0.18,0.05,0.17,0.04,
0.085,-0.13,0.10,0.22,0.05,0.17,0.04,
0.086,-0.13,0.10,0.22,0.05,0.17,0.04,
0.092,-0.13,0.10,0.22,0.04,0.11,0.04,
0.093,-0.13,0.10,0.22,0.04,0.11,0.04,
0.094,-0.08,0.05,0.24,0.04,0.11,0.04,
0.094,-0.08,0.05,0.24,0.04,0.11,0.04,
0.102,-0.08,0.05,0.24,0.02,0.04,0.04,
0.103,-0.08,0.05,0.24,0.02,0.04,0.04,
0.104,-0.06,0.04,0.24,0.02,0.04,0.04,
0.105,-0.06,0.04,0.24,0.02,0.04,0.04,
0.111,-0.06,0.04,0.24,0.00,-0.03,0.03,
0.112,-0.06,0.04,0.24,0.00,-0.03,0.03,
0.112,-0.06,-0.01,0.23,0.00,-0.03,0.03,
0.113,-0.06,-0.01,0.23,0.00,-0.03,0.03,
0.122,-0.06,-0.01,0.23,-0.02,-0.09,0.01,
0.123,-0.06,-0.01,0.23,-0.02,-0.09,0.01,
0.124,-0.04,0.01,0.18,-0.02,-0.09,0.01,
0.125,-0.04,0.01,0.18,-0.02,-0.09,0.01,
0.131,-0.04,0.01,0.18,-0.04,-0.14,-0.01,
0.131,-0.04,0.01,0.18,-0.04,-0.14,-0.01,
