
time,ax,ay,az,wx,wy,wz,
0.001,0.01,0.09,0.30,0.00,0.00,0.00,
0.002,0.01,0.09,0.30,0.00,0.00,0.00,
0.002,0.01,0.09,0.30,0.00,0.00,0.00,
0.002,0.01,0.09,0.30,0.00,0.00,0.00,
0.011,0.01,0.09,0.30,0.00,0.00,-0.00,
0.011,0.01,0.09,0.30,0.00,0.00,-0.00,
0.011,0.01,0.09,0.30,0.00,0.00,-0.00,
0.012,0.01,0.09,0.30,0.00,0.00,-0.00,
0.028,0.01,0.09,0.30,-0.00,0.00,0.00,
0.029,0.01,0.09,0.30,-0.00,0.00,0.00,
0.029,0.01,0.09,0.30,-0.00,0.00,0.00,
0.03,0.01,0.09,0.30,-0.00,0.00,0.00,
0.03,0.01,0.09,0.30,-0.00,-0.00,-0.00,
0.03,0.01,0.09,0.30,-0.00,-0.00,-0.00,
0.031,0.01,0.09,0.30,-0.00,-0.00,-0.00,
0.031,0.01,0.09,0.30,-0.00,-0.00,-0.00,
0.039,0.01,0.09,0.30,-0.00,-0.00,0.00,
0.04,0.01,0.09,0.30,-0.00,-0.00,0.00,
0.04,0.01,0.09,0.30,-0.00,-0.00,0.00,
0.041,0.01,0.09,0.30,-0.00,-0.00,0.00,
0.049,0.01,0.09,0.30,-0.00,0.00,-0.00,
0.05,0.01,0.09,0.30,-0.00,0.00,-0.00,
0.05,0.01,0.09,0.30,-0.00,0.00,-0.00,
0.05,0.01,0.09,0.30,-0.00,0.00,-0.00,
0.058,0.01,0.09,0.30,0.00,-0.00,-0.00,
0.059,0.01,0.09,0.30,0.00,-0.00,-0.00,
0.059,0.01,0.09,0.30,0.00,-0.00,-0.00,
0.06,0.01,0.09,0.30,0.00,-0.00,-0.00,
0.068,0.01,0.09,0.30,0.00,-0.00,0.00,
0.068,0.01,0.09,0.30,0.00,-0.00,0.00,
0.069,0.01,0.09,0.30,0.00,-0.00,0.00,
0.069,0.01,0.09,0.30,0.00,-0.00,0.00,
0.077,0.01,0.09,0.30,-0.00,-0.00,0.00,
0.078,0.01,0.09,0.30,-0.00,-0.00,0.00,
0.079,0.06,-0.03,0.08,-0.00,-0.00,0.00,
0.079,0.06,-0.03,0.08,-0.00,-0.00,0.00,
0.086,0.06,-0.03,0.08,-0.00,-0.00,-0.00,
0.087,0.06,-0.03,0.08,-0.00,-0.00,-0.00,
0.087,0.08,0.00,0.07,-0.00,-0.00,-0.00,
0.087,0.08,0.00,0.07,-0.00,-0.00,-0.00,
0.096,0.08,0.00,0.07,-0.00,0.00,-0.00,
0.096,0.08,0.00,0.07,-0.00,0.00,-0.00,
0.097,0.10,0.03,0.09,-0.00,0.00,-0.00,
0.097,0.10,0.03,0.09,-0.00,0.00,-0.00,
0.105,0.10,0.03,0.09,0.00,-0.00,-0.00,
0.106,0.10,0.03,0.09,0.00,-0.00,-0.00,
0.106,0.14,0.07,0.14,0.00,-0.00,-0.00,
0.107,0.14,0.07,0.14,0.00,-0.00,-0.00,
0.115,0.14,0.07,0.14,-0.00,0.00,0.00,
0.116,0.14,0.07,0.14,-0.00,0.00,0.00,
0.116,0.15,0.08,0.21,-0.00,0.00,0.00,
0.116,0.15,0.08,0.21,-0.00,0.00,0.00,
0.128,0.15,0.08,0.21,0.00,-0.00,-0.00,
0.129,0.15,0.08,0.21,0.00,-0.00,-0.00,
0.13,0.18,0.10,0.27,0.00,-0.00,-0.00,
0.13,0.18,0.10,0.27,0.00,-0.00,-0.00,
0.134,0.18,0.10,0.27,0.00,-0.00,0.00,
0.135,0.18,0.10,0.27,0.00,-0.00,0.00,
0.136,0.18,0.10,0.33,0.00,-0.00,0.00,
0.136,0.18,0.10,0.33,0.00,-0.00,0.00,
0.146,0.18,0.10,0.33,-0.00,0.00,-0.00,
0.147,0.18,0.10,0.33,-0.00,0.00,-0.00,
0.148,0.16,0.07,0.38,-0.00,0.00,-0.00,
0.148,0.16,0.07,0.38,-0.00,0.00,-0.00,
0.153,0.16,0.07,0.38,0.00,0.00,-0.00,
0.154,0.16,0.07,0.38,0.00,0.00,-0.00,
0.154,0.14,0.04,0.41,0.00,0.00,-0.00,
0.154,0.14,0.04,0.41,0.00,0.00,-0.00,
0.162,0.14,0.04,0.41,0.00,-0.00,0.00,
0.163,0.14,0.04,0.41,0.00,-0.00,0.00,
0.163,0.10,0.01,0.40,0.00,-0.00,0.00,
0.164,0.10,0.01,0.40,0.00,-0.00,0.00,
0.172,0.10,0.01,0.40,-0.00,-0.00,0.00,
0.173,0.10,0.01,0.40,-0.00,-0.00,0.00,
0.173,0.06,0.00,0.39,-0.00,-0.00,0.00,
0.174,0.06,0.00,0.39,-0.00,-0.00,0.00,
0.182,0.06,0.00,0.39,-0.04,-0.12,-0.10,
0.183,0.06,0.00,0.39,-0.04,-0.12,-0.10,
0.183,0.04,0.00,0.37,-0.04,-0.12,-0.10,
0.184,0.04,0.00,0.37,-0.04,-0.12,-0.10,
0.191,0.04,0.00,0.37,-0.06,-0.09,-0.10,
0.192,0.04,0.00,0.37,-0.06,-0.09,-0.10,
0.192,0.01,0.01,0.34,-0.06,-0.09,-0.10,
0.193,0.01,0.01,0.34,-0.06,-0.09,-0.10,
0.205,0.01,0.01,0.34,-0.06,-0.09,-0.10,
0.206,0.01,0.01,0.34,-0.06,-0.09,-0.10,
0.206,0.01,0.01,0.34,-0.06,-0.09,-0.10,
0.207,0.01,0.01,0.34,-0.06,-0.09,-0.10,
0.213,0.01,0.01,0.34,-0.08,-0.02,-0.07,
0.213,0.01,0.01,0.34,-0.08,-0.02,-0.07,
0.214,0.01,0.01,0.34,-0.08,-0.02,-0.07,
0.214,0.01,0.01,0.34,-0.08,-0.02,-0.07,
0.22,0.01,0.01,0.34,-0.08,-0.02,-0.07,
