
time,ax,ay,az,wx,wy,wz,
0.003,0.13,-0.01,0.33,-0.00,0.00,0.00,
0.004,0.13,-0.01,0.33,-0.00,0.00,0.00,
0.005,0.15,0.01,0.29,-0.00,0.00,0.00,
0.006,0.15,0.01,0.29,-0.00,0.00,0.00,
0.027,0.15,0.01,0.29,0.00,-0.00,-0.00,
0.029,0.15,0.01,0.29,0.00,-0.00,-0.00,
0.03,0.14,0.01,0.21,0.00,-0.00,-0.00,
0.031,0.14,0.01,0.21,0.00,-0.00,-0.00,
0.066,0.14,0.01,0.21,0.00,0.00,0.00,
0.067,0.14,0.01,0.21,0.00,0.00,0.00,
0.069,0.19,0.03,0.21,0.00,0.00,0.00,
0.07,0.19,0.03,0.21,0.00,0.00,0.00,
0.104,0.19,0.03,0.21,0.00,0.00,0.00,
0.105,0.19,0.03,0.21,0.00,0.00,0.00,
0.105,0.22,0.07,0.27,0.00,0.00,0.00,
0.106,0.22,0.07,0.27,0.00,0.00,0.00,
0.161,0.22,0.07,0.27,0.00,0.00,0.00,
0.163,0.22,0.07,0.27,0.00,0.00,0.00,
0.164,0.18,0.11,0.27,0.00,0.00,0.00,
0.165,0.18,0.11,0.27,0.00,0.00,0.00,
0.18,0.18,0.11,0.27,-0.00,-0.00,0.00,
0.181,0.18,0.11,0.27,-0.00,-0.00,0.00,
0.183,0.18,0.16,0.33,-0.00,-0.00,0.00,
0.184,0.18,0.16,0.33,-0.00,-0.00,0.00,
0.218,0.18,0.16,0.33,-0.00,0.00,-0.00,
0.22,0.18,0.16,0.33,-0.00,0.00,-0.00,
0.222,0.14,0.17,0.33,-0.00,0.00,-0.00,
0.223,0.14,0.17,0.33,-0.00,0.00,-0.00,
0.264,0.14,0.17,0.33,-0.00,0.00,-0.00,
0.266,0.14,0.17,0.33,-0.00,0.00,-0.00,
0.267,0.12,0.17,0.33,-0.00,0.00,-0.00,
0.268,0.12,0.17,0.33,-0.00,0.00,-0.00,
0.293,0.12,0.17,0.33,0.00,-0.00,0.00,
0.295,0.12,0.17,0.33,0.00,-0.00,0.00,
0.296,0.11,0.16,0.34,0.00,-0.00,0.00,
0.297,0.11,0.16,0.34,0.00,-0.00,0.00,
0.332,0.11,0.16,0.34,-0.00,-0.00,0.00,
0.334,0.11,0.16,0.34,-0.00,-0.00,0.00,
0.335,0.09,0.15,0.34,-0.00,-0.00,0.00,
0.336,0.09,0.15,0.34,-0.00,-0.00,0.00,
0.374,0.09,0.15,0.34,-0.00,0.00,-0.00,
0.376,0.09,0.15,0.34,-0.00,0.00,-0.00,
0.376,0.07,0.14,0.34,-0.00,0.00,-0.00,
0.377,0.07,0.14,0.34,-0.00,0.00,-0.00,
0.407,0.07,0.14,0.34,-0.00,0.00,-0.00,
0.409,0.07,0.14,0.34,-0.00,0.00,-0.00,
0.409,0.06,0.14,0.35,-0.00,0.00,-0.00,
0.41,0.06,0.14,0.35,-0.00,0.00,-0.00,
0.446,0.06,0.14,0.35,0.00,0.00,-0.00,
0.447,0.06,0.14,0.35,0.00,0.00,-0.00,
0.448,0.04,0.13,0.35,0.00,0.00,-0.00,
0.448,0.04,0.13,0.35,0.00,0.00,-0.00,
0.484,0.04,0.13,0.35,0.00,0.00,-0.00,
0.486,0.04,0.13,0.35,0.00,0.00,-0.00,
0.486,0.05,0.19,-0.11,0.00,0.00,-0.00,
0.487,0.05,0.19,-0.11,0.00,0.00,-0.00,
0.522,0.05,0.19,-0.11,0.00,0.00,-0.00,
0.523,0.05,0.19,-0.11,0.00,0.00,-0.00,
0.523,0.18,0.24,-0.36,0.00,0.00,-0.00,
0.524,0.18,0.24,-0.36,0.00,0.00,-0.00,
0.559,0.18,0.24,-0.36,0.00,-0.00,-0.00,
0.559,0.18,0.24,-0.36,0.00,-0.00,-0.00,
0.56,0.37,0.12,-0.35,0.00,-0.00,-0.00,
0.56,0.37,0.12,-0.35,0.00,-0.00,-0.00,
0.597,0.37,0.12,-0.35,-0.03,-0.29,0.07,
0.598,0.37,0.12,-0.35,-0.03,-0.29,0.07,
0.598,0.48,-0.15,-0.13,-0.03,-0.29,0.07,
0.599,0.48,-0.15,-0.13,-0.03,-0.29,0.07,
0.635,0.48,-0.15,-0.13,-0.40,-0.38,-0.28,
0.637,0.48,-0.15,-0.13,-0.40,-0.38,-0.28,
0.637,0.55,-0.48,0.18,-0.40,-0.38,-0.28,
0.638,0.55,-0.48,0.18,-0.40,-0.38,-0.28,
0.673,0.55,-0.48,0.18,-0.64,-0.42,-0.57,
0.674,0.55,-0.48,0.18,-0.64,-0.42,-0.57,
0.675,0.61,-0.87,0.44,-0.64,-0.42,-0.57,
0.676,0.61,-0.87,0.44,-0.64,-0.42,-0.57,
0.711,0.61,-0.87,0.44,-0.85,-0.52,-0.91,
0.712,0.61,-0.87,0.44,-0.85,-0.52,-0.91,
0.713,0.78,-0.94,0.30,-0.85,-0.52,-0.91,
0.713,0.78,-0.94,0.30,-0.85,-0.52,-0.91,
0.753,0.78,-0.94,0.30,-0.70,-0.61,-0.97,
0.755,0.78,-0.94,0.30,-0.70,-0.61,-0.97,
0.757,0.86,-0.99,-0.02,-0.70,-0.61,-0.97,
0.757,0.86,-0.99,-0.02,-0.70,-0.61,-0.97,
0.787,0.86,-0.99,-0.02,-0.43,-0.59,-0.61,
0.788,0.86,-0.99,-0.02,-0.43,-0.59,-0.61,
0.788,0.94,-0.94,-0.47,-0.43,-0.59,-0.61,
0.789,0.94,-0.94,-0.47,-0.43,-0.59,-0.61,
0.825,0.94,-0.94,-0.47,-0.11,-0.59,-0.26,
0.826,0.94,-0.94,-0.47,-0.11,-0.59,-0.26,
0.827,1.00,-0.67,-0.95,-0.11,-0.59,-0.26,
0.828,1.00,-0.67,-0.95,-0.11,-0.59,-0.26,
0.863,1.00,-0.67,-0.95,0.10,-0.59,-0.15,
0.864,1.00,-0.67,-0.95,0.10,-0.59,-0.15,
0.864,0.93,-0.61,-1.25,0.10,-0.59,-0.15,
0.864,0.93,-0.61,-1.25,0.10,-0.59,-0.15,
0.901,0.93,-0.61,-1.25,0.19,-0.50,0.05,
0.902,0.93,-0.61,-1.25,0.19,-0.50,0.05,
0.902,0.89,-0.54,-1.35,0.19,-0.50,0.05,
0.903,0.89,-0.54,-1.35,0.19,-0.50,0.05,
0.939,0.89,-0.54,-1.35,0.14,-0.44,0.37,
0.94,0.89,-0.54,-1.35,0.14,-0.44,0.37,
0.94,1.04,-0.59,-1.35,0.14,-0.44,0.37,
0.941,1.04,-0.59,-1.35,0.14,-0.44,0.37,
0.976,1.04,-0.59,-1.35,0.05,-0.58,0.80,
0.977,1.04,-0.59,-1.35,0.05,-0.58,0.80,
0.977,1.49,-0.60,-1.21,0.05,-0.58,0.80,
0.978,1.49,-0.60,-1.21,0.05,-0.58,0.80,
1.015,1.49,-0.60,-1.21,-0.09,-0.83,0.70,
1.016,1.49,-0.60,-1.21,-0.09,-0.83,0.70,
1.017,1.88,-0.69,-1.19,-0.09,-0.83,0.70,
1.018,1.88,-0.69,-1.19,-0.09,-0.83,0.70,
1.053,1.88,-0.69,-1.19,-0.32,-1.21,0.42,
1.055,1.88,-0.69,-1.19,-0.32,-1.21,0.42,
1.056,2.34,-0.70,-1.15,-0.32,-1.21,0.42,
1.057,2.34,-0.70,-1.15,-0.32,-1.21,0.42,
1.091,2.34,-0.70,-1.15,-0.40,-1.57,0.21,
1.092,2.34,-0.70,-1.15,-0.40,-1.57,0.21,
1.092,3.49,-0.69,-0.75,-0.40,-1.57,0.21,
1.093,3.49,-0.69,-0.75,-0.40,-1.57,0.21,
1.14,3.49,-0.69,-0.75,-0.49,-1.47,0.19,
1.141,3.49,-0.69,-0.75,-0.49,-1.47,0.19,
1.142,3.00,-1.00,-0.21,-0.49,-1.47,0.19,
1.142,3.00,-1.00,-0.21,-0.49,-1.47,0.19,
1.166,3.00,-1.00,-0.21,-0.54,-0.67,0.32,
1.167,3.00,-1.00,-0.21,-0.54,-0.67,0.32,
1.168,2.67,-1.22,0.35,-0.54,-0.67,0.32,
1.168,2.67,-1.22,0.35,-0.54,-0.67,0.32,
1.204,2.67,-1.22,0.35,-0.46,-0.25,0.47,
1.205,2.67,-1.22,0.35,-0.46,-0.25,0.47,
1.205,2.52,-1.22,0.95,-0.46,-0.25,0.47,
1.205,2.52,-1.22,0.95,-0.46,-0.25,0.47,
1.242,2.52,-1.22,0.95,-0.40,0.11,0.48,
1.243,2.52,-1.22,0.95,-0.40,0.11,0.48,
1.243,1.84,-1.39,1.28,-0.40,0.11,0.48,
1.244,1.84,-1.39,1.28,-0.40,0.11,0.48,
1.28,1.84,-1.39,1.28,-0.24,0.26,0.72,
1.281,1.84,-1.39,1.28,-0.24,0.26,0.72,
1.282,1.41,-1.44,1.17,-0.24,0.26,0.72,
1.282,1.41,-1.44,1.17,-0.24,0.26,0.72,
1.318,1.41,-1.44,1.17,0.06,0.01,1.14,
1.32,1.41,-1.44,1.17,0.06,0.01,1.14,
1.32,1.59,-1.30,0.89,0.06,0.01,1.14,
1.321,1.59,-1.30,0.89,0.06,0.01,1.14,
1.356,1.59,-1.30,0.89,0.29,-1.00,1.24,
1.357,1.59,-1.30,0.89,0.29,-1.00,1.24,
1.357,2.95,-1.13,-0.96,0.29,-1.00,1.24,
1.358,2.95,-1.13,-0.96,0.29,-1.00,1.24,
1.394,2.95,-1.13,-0.96,0.41,-2.15,1.12,
1.395,2.95,-1.13,-0.96,0.41,-2.15,1.12,
1.396,4.76,-0.76,-1.21,0.41,-2.15,1.12,
1.396,4.76,-0.76,-1.21,0.41,-2.15,1.12,
1.432,4.76,-0.76,-1.21,0.51,-2.96,0.65,
1.433,4.76,-0.76,-1.21,0.51,-2.96,0.65,
1.433,5.06,-0.36,-1.57,0.51,-2.96,0.65,
1.434,5.06,-0.36,-1.57,0.51,-2.96,0.65,
1.47,5.06,-0.36,-1.57,0.29,-2.50,0.18,
1.471,5.06,-0.36,-1.57,0.29,-2.50,0.18,
