
time,ax,ay,az,wx,wy,wz,
0.002,0.02,-0.11,0.67,-0.27,-0.14,0.05,
0.003,0.02,-0.11,0.67,-0.27,-0.14,0.05,
0.003,-0.01,-0.07,0.49,-0.27,-0.14,0.05,
0.003,-0.01,-0.07,0.49,-0.27,-0.14,0.05,
0.013,-0.01,-0.07,0.49,-0.29,-0.10,0.10,
0.014,-0.01,-0.07,0.49,-0.29,-0.10,0.10,
0.014,-0.00,0.05,0.38,-0.29,-0.10,0.10,
0.015,-0.00,0.05,0.38,-0.29,-0.10,0.10,
0.015,-0.00,0.05,0.38,-0.29,-0.10,0.10,
0.015,-0.00,0.05,0.38,-0.29,-0.10,0.10,
0.016,-0.00,0.05,0.38,-0.29,-0.10,0.10,
0.016,-0.00,0.05,0.38,-0.29,-0.10,0.10,
0.029,-0.00,0.05,0.38,-0.28,-0.04,0.13,
0.03,-0.00,0.05,0.38,-0.28,-0.04,0.13,
0.03,0.15,0.22,0.34,-0.28,-0.04,0.13,
0.031,0.15,0.22,0.34,-0.28,-0.04,0.13,
0.034,0.15,0.22,0.34,-0.23,-0.01,0.13,
0.034,0.15,0.22,0.34,-0.23,-0.01,0.13,
0.035,0.26,0.24,0.31,-0.23,-0.01,0.13,
0.035,0.26,0.24,0.31,-0.23,-0.01,0.13,
0.043,0.26,0.24,0.31,-0.14,-0.00,0.10,
0.044,0.26,0.24,0.31,-0.14,-0.00,0.10,
0.044,0.35,0.20,0.28,-0.14,-0.00,0.10,
0.045,0.35,0.20,0.28,-0.14,-0.00,0.10,
0.053,0.35,0.20,0.28,-0.05,-0.04,0.06,
0.053,0.37,0.14,0.26,-0.05,-0.04,0.06,
0.053,0.37,0.14,0.26,-0.05,-0.04,0.06,
0.053,0.37,0.14,0.26,-0.05,-0.04,0.06,
0.061,0.37,0.14,0.26,0.04,-0.11,0.01,
0.062,0.37,0.14,0.26,0.04,-0.11,0.01,
0.063,0.31,0.08,0.25,0.04,-0.11,0.01,
0.063,0.31,0.08,0.25,0.04,-0.11,0.01,
0.071,0.31,0.08,0.25,0.09,-0.18,-0.04,
0.072,0.31,0.08,0.25,0.09,-0.18,-0.04,
0.072,0.22,-0.01,0.26,0.09,-0.18,-0.04,
0.072,0.22,-0.01,0.26,0.09,-0.18,-0.04,
0.081,0.22,-0.01,0.26,0.11,-0.23,-0.08,
0.082,0.22,-0.01,0.26,0.11,-0.23,-0.08,
0.082,0.10,-0.08,0.25,0.11,-0.23,-0.08,
0.083,0.10,-0.08,0.25,0.11,-0.23,-0.08,
0.097,0.10,-0.08,0.25,0.10,-0.23,-0.08,
0.098,0.10,-0.08,0.25,0.10,-0.23,-0.08,
0.098,0.00,-0.17,0.18,0.10,-0.23,-0.08,
0.099,0.00,-0.17,0.18,0.10,-0.23,-0.08,
0.1,0.00,-0.17,0.18,0.06,-0.19,-0.07,
0.101,0.00,-0.17,0.18,0.06,-0.19,-0.07,
0.101,-0.04,-0.24,0.13,0.06,-0.19,-0.07,
0.102,-0.04,-0.24,0.13,0.06,-0.19,-0.07,
0.11,-0.04,-0.24,0.13,0.01,-0.11,-0.03,
0.112,-0.04,-0.24,0.13,0.01,-0.11,-0.03,
0.113,-0.09,-0.21,0.08,0.01,-0.11,-0.03,
0.113,-0.09,-0.21,0.08,0.01,-0.11,-0.03,
0.118,-0.09,-0.21,0.08,-0.04,-0.02,0.02,
0.119,-0.09,-0.21,0.08,-0.04,-0.02,0.02,
0.12,-0.10,-0.18,0.06,-0.04,-0.02,0.02,
0.12,-0.10,-0.18,0.06,-0.04,-0.02,0.02,
0.128,-0.10,-0.18,0.06,-0.08,0.08,0.08,
0.129,-0.10,-0.18,0.06,-0.08,0.08,0.08,
0.129,-0.08,-0.11,0.10,-0.08,0.08,0.08,
0.13,-0.08,-0.11,0.10,-0.08,0.08,0.08,
0.138,-0.08,-0.11,0.10,-0.10,0.16,0.13,
0.139,-0.08,-0.11,0.10,-0.10,0.16,0.13,
0.139,-0.04,-0.04,0.10,-0.10,0.16,0.13,
0.14,-0.04,-0.04,0.10,-0.10,0.16,0.13,
0.147,-0.04,-0.04,0.10,-0.11,0.21,0.16,
0.148,-0.04,-0.04,0.10,-0.11,0.21,0.16,
0.148,0.02,-0.07,0.06,-0.11,0.21,0.16,
0.149,0.02,-0.07,0.06,-0.11,0.21,0.16,
0.157,0.02,-0.07,0.06,-0.09,0.23,0.17,
0.158,0.02,-0.07,0.06,-0.09,0.23,0.17,
0.159,0.09,-0.07,-0.03,-0.09,0.23,0.17,
0.159,0.09,-0.07,-0.03,-0.09,0.23,0.17,
0.167,0.09,-0.07,-0.03,-0.06,0.22,0.17,
0.167,0.09,-0.07,-0.03,-0.06,0.22,0.17,
0.168,0.13,-0.06,-0.14,-0.06,0.22,0.17,
0.169,0.13,-0.06,-0.14,-0.06,0.22,0.17,
0.175,0.13,-0.06,-0.14,-0.03,0.18,0.15,
0.176,0.13,-0.06,-0.14,-0.03,0.18,0.15,
0.177,0.16,-0.06,-0.21,-0.03,0.18,0.15,
0.178,0.16,-0.06,-0.21,-0.03,0.18,0.15,
0.185,0.16,-0.06,-0.21,0.00,0.12,0.12,
0.186,0.16,-0.06,-0.21,0.00,0.12,0.12,
0.186,0.20,-0.03,-0.17,0.00,0.12,0.12,
0.187,0.20,-0.03,-0.17,0.00,0.12,0.12,
0.197,0.20,-0.03,-0.17,0.03,0.05,0.08,
0.198,0.20,-0.03,-0.17,0.03,0.05,0.08,
0.199,0.19,-0.04,-0.04,0.03,0.05,0.08,
0.199,0.19,-0.04,-0.04,0.03,0.05,0.08,
0.205,0.19,-0.04,-0.04,0.06,-0.01,0.05,
0.206,0.19,-0.04,-0.04,0.06,-0.01,0.05,
0.206,0.18,-0.09,0.11,0.06,-0.01,0.05,
0.207,0.18,-0.09,0.11,0.06,-0.01,0.05,
0.214,0.18,-0.09,0.11,0.06,-0.01,0.05,
0.215,0.18,-0.09,0.11,0.06,-0.01,0.05,
0.216,0.18,-0.09,0.11,0.06,-0.01,0.05,
0.216,0.18,-0.09,0.11,0.06,-0.01,0.05,
0.224,0.18,-0.09,0.11,0.07,-0.05,0.04,
0.225,0.18,-0.09,0.11,0.07,-0.05,0.04,
0.225,0.23,-0.12,0.49,0.07,-0.05,0.04,
0.226,0.23,-0.12,0.49,0.07,-0.05,0.04,
0.233,0.23,-0.12,0.49,0.06,-0.09,0.03,
0.234,0.23,-0.12,0.49,0.06,-0.09,0.03,
0.234,0.29,-0.13,0.66,0.06,-0.09,0.03,
0.235,0.29,-0.13,0.66,0.06,-0.09,0.03,
0.243,0.29,-0.13,0.66,0.01,-0.11,0.04,
0.244,0.29,-0.13,0.66,0.01,-0.11,0.04,
0.245,0.34,-0.13,0.81,0.01,-0.11,0.04,
0.245,0.34,-0.13,0.81,0.01,-0.11,0.04,
0.254,0.34,-0.13,0.81,-0.06,-0.14,0.04,
0.255,0.34,-0.13,0.81,-0.06,-0.14,0.04,
0.255,0.37,-0.20,0.87,-0.06,-0.14,0.04,
0.256,0.37,-0.20,0.87,-0.06,-0.14,0.04,
0.262,0.37,-0.20,0.87,-0.13,-0.18,0.02,
0.263,0.37,-0.20,0.87,-0.13,-0.18,0.02,
0.264,0.34,-0.26,0.84,-0.13,-0.18,0.02,
0.265,0.34,-0.26,0.84,-0.13,-0.18,0.02,
0.271,0.34,-0.26,0.84,-0.20,-0.21,0.01,
0.272,0.34,-0.26,0.84,-0.20,-0.21,0.01,
0.273,0.31,-0.31,0.73,-0.20,-0.21,0.01,
